index,name,price,core_count,core_clock,boost_clock,tdp,graphics,smt,codename,socket,lithography,cache,supported_mem,supported_chipset,release_date,passmark,category,passmarkPred,cinebench,cinePred,blender,blenderPred
1,AMD Ryzen 5 5600X,168.99,6,3.7,4.6,65,,TRUE,Vermeer,AM4,7,32,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Nov 5th, 2020",0.4732897812930149,Desktop,FALSE,0.3011288180610889,TRUE,0.2781594117850115,FALSE
2,AMD Ryzen 7 5800X,228.72,8,3.8,4.7,105,,TRUE,Vermeer,AM4,7,32,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Nov 5th, 2020",0.6105005571456663,Desktop,FALSE,0.4513612217795484,TRUE,0.3842901032137802,FALSE
3,Intel Core i7-13700K,381.99,16,3.4,5.4,125,Intel UHD Graphics 770,TRUE,Raptor Lake-S,1700,10,30,"DDR4, DDR5","H610, B660, H670, Q670, Z690, W680, B760, H770, Z790","Sep 27th, 2022",0.9150516725294412,Unknown,TRUE,0.7375498007968128,FALSE,0.7020608236390624,FALSE
4,Intel Core i9-13900K,568.99,24,3,5.8,125,Intel UHD Graphics 770,TRUE,Raptor Lake-S,1700,10,36,"DDR4, DDR5","H610, B660, H670, Q670, Z690, W680, B760, H770, Z790","Sep 27th, 2022",0.9377963250234874,Unknown,TRUE,0.9868857901726428,FALSE,0.908471124,FALSE
5,AMD Ryzen 7 7800X3D,439,8,4.2,5,120,Radeon,TRUE,Raphael,AM5,5,96,DDR5,"X670E, X670, B650E, B650, A620","Jan 4th, 2023",0.5614061919639931,Unknown,TRUE,0.4018924302788844,TRUE,0.492353896,FALSE
6,Intel Core i5-13600K,308.95,14,3.5,5.1,125,Intel UHD Graphics 770,TRUE,Raptor Lake-S,1700,10,24,"DDR4, DDR5","Z690, Z790","Sep 27th, 2022",0.7606895496952085,Unknown,TRUE,0.5737051792828685,FALSE,0.5438054472021816,FALSE
7,AMD Ryzen 5 5600,138,6,3.5,4.4,65,,TRUE,Vermeer,AM4,7,32,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Apr 20th, 2022",0.4571653302453625,Desktop,FALSE,0.2916666666666666,TRUE,0.282129173,FALSE
8,Intel Core i5-12400F,149.97,6,2.5,4.4,65,,TRUE,Alder Lake-S,1700,10,18,"DDR4, DDR5","H610, B650, H670, Z690, H710, B750, H770, Z790","Jan 4th, 2022",0.4202189254735738,Desktop,FALSE,0.2782204515272244,TRUE,0.2928820463253823,FALSE
9,AMD Ryzen 7 7700X,299,8,4.5,5.4,105,Radeon,TRUE,Raphael,AM5,5,32,DDR5,"X670E, X670, B650E, B650, A620","Sep 27th, 2022",0.6317157901636479,Unknown,TRUE,0.4628154050464806,TRUE,0.4975318443853774,FALSE
10,AMD Ryzen 5 7600X,229,6,4.7,5.3,105,Radeon,TRUE,Raphael,AM5,5,32,DDR5,"X670E, X670, B650E, B650","Sep 27th, 2022",0.4865520330354607,Unknown,TRUE,0.318559097,TRUE,0.3850322758811142,FALSE
11,AMD Ryzen 7 5800X3D,329.99,8,3.4,4.5,105,,TRUE,Vermeer,AM4,7,96,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Apr 20th, 2022",0.5480128471235989,Desktop,FALSE,0.3612217795484728,TRUE,0.3795954295971556,FALSE
12,Intel Core i7-12700K,241.99,12,3.6,5,125,Intel UHD Graphics 770,TRUE,Alder Lake-S,1700,10,25,"DDR4, DDR5","Z690, H670, B660, H610","Nov 4th, 2021",0.7362843846271494,Desktop,FALSE,0.5197543160690571,FALSE,0.5240774621146742,FALSE
13,AMD Ryzen 5 7600,212.52,6,3.8,5.1,65,Radeon,TRUE,Raphael,AM5,5,32,DDR5,"X670E, X670, B650E, B650","Jan 14th, 2023",0.446306452,Unknown,TRUE,0.3140770252324036,TRUE,0.366046463,FALSE
14,AMD Ryzen 5 5500,99,6,3.6,4.2,65,,TRUE,Cezanne,AM4,7,16,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Apr 4th, 2022",0.4265550918744128,Desktop,FALSE,0.2732403718459495,TRUE,0.2653008388277124,FALSE
15,AMD Ryzen 5 3600,104.99,6,3.6,4.2,65,,TRUE,Matisse,AM4,7,32,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Jul 7th, 2019",0.3800825886517074,Desktop,FALSE,0.2294156706507304,FALSE,0.2371673167869101,FALSE
