name,price,core_count,core_clock,boost_clock,tdp,graphics,smt,codename,socket,lithography,cache,supported_mem,supported_chipset,release_date,pmprice,cpuMark,category,passmarkPred,CPU ScoreMulti 15,cinePred,Blender Score,Number of Benchmarks
AMD Ryzen 5 5600X,168.99,6,3.7,4.6,65,,True,Vermeer,Socket AM4,7,32.0,DDR4,"AMD 300 Series*, AMD 400 Series, AMD 500 Series","Nov 5th, 2020",216.99,22088.0,Desktop,False,2010.0,True,152.16,170.0
AMD Ryzen 7 5800X,228.72,8,3.8,4.7,105,,True,Vermeer,Socket AM4,7,32.0,DDR4,"AMD 300 Series*, AMD 400 Series, AMD 500 Series","Nov 5th, 2020",333.99,28368.0,Desktop,False,2915.0,True,213.65,272.0
Intel Core i7-13700K,381.99,16,3.4,5.4,125,Intel UHD Graphics 770,True,Raptor Lake-S,Socket 1700,10,30.0,"DDR4, DDR5","H610, B660, H670, Q670, Z690, W680, B760, H770, Z790","Sep 27th, 2022",,42307.0,,True,4639.0,False,397.76,252.0
Intel Core i9-13900K,568.99,24,3.0,5.8,125,Intel UHD Graphics 770,True,Raptor Lake-S,Socket 1700,10,36.0,"DDR4, DDR5","H610, B660, H670, Q670, Z690, W680, B760, H770, Z790","Sep 27th, 2022",,43348.0,,True,6141.0,False,517.35,429.0
AMD Ryzen 7 7800X3D,439.0,8,4.2,5.0,120,Radeon,True,Raphael,Socket AM5,5,96.0,DDR5,"X670E, X670, B650E, B650, A620","Jan 4th, 2023",,26121.0,,True,2617.0,True,276.26,222.0
Intel Core i5-13600K,308.95,14,3.5,5.1,125,Intel UHD Graphics 770,True,Raptor Lake-S,Socket 1700,10,24.0,"DDR4, DDR5","Z690, Z790","Sep 27th, 2022",,35242.0,,True,3652.0,False,306.07,86.0
AMD Ryzen 5 5600,138.0,6,3.5,4.4,65,,True,Vermeer,Socket AM4,7,32.0,DDR4,"AMD 300 Series*, AMD 400 Series, AMD 500 Series","Apr 20th, 2022",189.99,21350.0,Desktop,False,1953.0,True,154.46,129.0
Intel Core i5-12400F,149.97,6,2.5,4.4,65,,True,Alder Lake-S,Socket 1700,10,18.0,"DDR4, DDR5","Intel 600 Series, Intel 700 Series","Jan 4th, 2022",174.98,19659.0,Desktop,False,1872.0,True,160.69,102.0
AMD Ryzen 7 7700X,299.0,8,4.5,5.4,105,Radeon,True,Raphael,Socket AM5,5,32.0,DDR5,"X670E, X670, B650E, B650, A620","Sep 27th, 2022",,29339.0,,True,2984.0,True,279.26,119.0
AMD Ryzen 5 7600X,229.0,6,4.7,5.3,105,Radeon,True,Raphael,Socket AM5,5,32.0,DDR5,"X670E, X670, B650E, B650","Sep 27th, 2022",,22695.0,,True,2115.0,True,214.08,102.0
AMD Ryzen 7 5800X3D,329.99,8,3.4,4.5,105,,True,Vermeer,Socket AM4,7,96.0,DDR4,"AMD 300 Series*, AMD 400 Series, AMD 500 Series","Apr 20th, 2022",599.0,25508.0,Desktop,False,2372.0,True,210.93,120.0
Intel Core i7-12700K,241.99,12,3.6,5.0,125,Intel UHD Graphics 770,True,Alder Lake-S,Socket 1700,10,25.0,"DDR4, DDR5","Z690, H670, B660, H610","Nov 4th, 2021",409.0,34125.0,Desktop,False,3327.0,False,294.64,84.0
AMD Ryzen 5 7600,212.52,6,3.8,5.1,65,Radeon,True,Raphael,Socket AM5,5,32.0,DDR5,"X670E, X670, B650E, B650","Jan 14th, 2023",,20853.0,,True,2088.0,True,203.08,43.0
AMD Ryzen 5 5500,99.0,6,3.6,4.2,65,,True,Cezanne,Socket AM4,7,16.0,DDR4,"AMD 300 Series*, AMD 400 Series, AMD 500 Series","Apr 4th, 2022",159.0,19949.0,Desktop,False,1842.0,True,144.71,102.0
AMD Ryzen 5 3600,104.99,6,3.6,4.2,65,,True,Matisse,Socket AM4,7,32.0,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Jul 7th, 2019",153.49,17822.0,Desktop,False,1578.0,False,128.41,159.0
AMD Ryzen 7 5700X,178.0,8,3.4,4.6,65,,True,Vermeer,Socket AM4,7,32.0,DDR4,"AMD 300 Series*, AMD 400 Series, AMD 500 Series","Apr 4th, 2022",299.0,27065.0,Desktop,False,2529.0,True,202.95,161.0
Intel Core i5-12600K,189.99,10,3.7,4.9,125,Intel UHD Graphics 770,True,Alder Lake-S,Socket 1700,10,20.0,"DDR4, DDR5","Z690. H670, B660, H610","Nov 4th, 2021",277.98,27429.0,Desktop,False,2596.0,False,226.26,55.0
AMD Ryzen 5 5600G,139.0,6,3.9,4.4,65,Radeon Vega 7,True,Cezanne,Socket AM4,7,16.0,DDR4,"AMD 300 Series*, AMD 400 Series, AMD 500 Series","Apr 13th, 2021",179.97,19830.0,Desktop,False,1872.0,True,144.67,93.0
Intel Core i5-13400F,208.98,10,2.5,4.6,65,,True,Raptor Lake-S,Socket 1700,10,20.0,"DDR4, DDR5","Intel 600 Series, Intel 700 Series","Jan 4th, 2023",,26062.0,,True,2336.0,False,203.33,34.0
AMD Ryzen 9 7900X,419.99,12,4.7,5.6,170,Radeon,True,Raphael,Socket AM5,5,64.0,DDR5,"X670E, X670, B650E, B650","Sep 27th, 2022",,38886.0,,True,3655.0,True,428.86,176.0
AMD Ryzen 9 5900X,349.0,12,3.7,4.8,105,,True,Vermeer,Socket AM4,7,64.0,DDR4,"AMD 300 Series*, AMD 400 Series, AMD 500 Series","Nov 5th, 2020",393.03,39457.0,Desktop,False,3596.0,True,311.55,376.0
Intel Core i3-12100F,88.12,4,3.3,4.3,58,,True,Alder Lake-S,Socket 1700,10,12.0,"DDR4, DDR5","Intel 600 Series, Intel 700 Series",Jan-22,107.99,14490.0,Server,False,1384.0,True,109.8,18.0
Intel Core i5-13600KF,289.99,14,3.5,5.1,125,,True,Raptor Lake-S,Socket 1700,10,24.0,"DDR4, DDR5","H610, B660, H670, Q670, Z690, W680, B760, H770, Z790","Sep 27th, 2022",,35242.0,,True,3652.0,False,312.8,94.0
AMD Ryzen 9 7950X3D,557.0,16,4.2,5.7,120,Radeon,True,Raphael,Socket AM5,5,128.0,DDR5,"X670E, X670, B650E, B650, A620","Jan 4th, 2023",,43262.0,,True,4114.0,True,551.78,278.0
AMD Ryzen 7 5700G,165.94,8,3.8,4.6,65,Radeon Vega 8,True,Cezanne,Socket AM4,7,16.0,DDR4,,"Apr 13th, 2021",233.0,24545.0,Desktop,False,2434.0,True,191.28,59.0
AMD Ryzen 9 7950X,581.74,16,4.5,5.7,170,Radeon,True,Raphael,Socket AM5,5,64.0,DDR5,"X670E, X670, B650E, B650, A620","Sep 27th, 2022",,44095.0,,True,4074.0,True,570.38,390.0
Intel Core i9-12900K,344.99,16,3.2,5.2,125,Intel UHD Graphics 770,True,Alder Lake-S,Socket 1700,10,30.0,"DDR4, DDR5","Z690, H670, B660, H610","Nov 4th, 2021",599.95,41077.0,Desktop,False,4111.0,False,343.42,91.0
AMD Ryzen 5 4500,78.2,6,3.6,4.1,65,,True,Renoir,Socket AM4,7,8.0,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Apr 4th, 2022",141.75,16698.0,Desktop,False,1607.0,True,127.63,11.0
Intel Core i7-13700KF,382.84,16,3.4,5.4,125,,True,Raptor Lake-S,Socket 1700,10,30.0,"DDR4, DDR5","H610, B660, H670, Q670, Z690, W680, B760, H770, Z790","Sep 27th, 2022",,42307.0,,True,4639.0,False,395.29,128.0
Intel Core i5-13500,247.98,14,2.5,4.8,65,Intel UHD Graphics 770,True,Raptor Lake-S,Socket 1700,10,24.0,"DDR4, DDR5","Intel 600 Series, Intel 700 Series","Jan 4th, 2023",,32637.0,,True,3149.0,False,262.02,64.0
AMD Ryzen 7 7700,296.31,8,3.6,5.3,65,Radeon,True,Raphael,Socket AM5,5,32.0,DDR5,"X670E, X670, B650E, B650","Jan 14th, 2023",,28665.0,,True,3013.0,True,330.0,69.0
Intel Core i5-10400F,114.64,6,2.9,4.3,65,,True,Comet Lake,Socket 1200,14,12.0,DDR4,,"Apr 30th, 2020",124.99,12439.0,Desktop,False,1341.0,False,113.22,29.0
AMD Ryzen 7 3700X,239.0,8,3.6,4.4,65,,True,Matisse,Socket AM4,7,32.0,DDR4,"A300, X300, A320, B350, X370, B450, X470, A520, B550, X570","Jul 7th, 2019",367.52,22716.0,Desktop,False,2209.0,True,181.81,134.0
Intel Core i3-13100F,118.99,4,3.4,4.5,58,,True,Raptor Lake-S,Socket 1700,10,12.0,"DDR4, DDR5","B660, Z690, B760, Z790","Jan 4th, 2023",,12442.0,,True,1248.0,True,110.02,4.0
AMD Threadripper 3990X,4483.0,64,2.9,4.3,280,,True,Castle Peak,Socket TRX4,7,256.0,DDR4,,"Feb 7th, 2020",,28200.0,,True,3291.0,True,504.0,0.0
Intel Core i9-13900KS,,24,3.0,6.0,150,Intel UHD Graphics 770,True,Raptor Lake-S,Socket 1700,10,36.0,"DDR4, DDR5","B660, Z690, B760, H770, Z790","Jan 12th, 2023",,44251.0,,True,6220.0,False,531.61,49.0
Intel Core i7-12700KF,219.99,12,3.6,5.0,125,,True,Alder Lake-S,Socket 1700,10,25.0,"DDR4, DDR5","Z690, H670, B660, H610","Nov 4th, 2021",350.99,34110.0,Desktop,False,3327.0,False,295.41,44.0
AMD Ryzen 9 5950X,390.0,16,3.4,4.9,105,,True,Vermeer,Socket AM4,7,64.0,DDR4,"AMD 300 Series*, AMD 400 Series, AMD 500 Series","Nov 5th, 2020",649.74,46195.0,Desktop,False,3943.0,True,413.43,458.0
Intel Core i9-13900KF,535.99,24,3.0,5.8,125,,True,Raptor Lake-S,Socket 1700,10,36.0,"DDR4, DDR5","Z690, Z790","Sep 27th, 2022",,43348.0,,True,6141.0,False,521.44,95.0
AMD Ryzen 5 4600G,104.0,6,3.7,4.2,65,Radeon Vega 7,True,Renoir,Socket AM4,7,8.0,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Jul 21st, 2020",,15577.0,Desktop,False,1457.0,True,131.48,2.0
Intel Core i3-10100F,75.83,4,3.6,4.3,65,,True,Comet Lake,Socket 1200,14,6.0,DDR4,"H410, B460, H470, Z490","Apr 30th, 2020",79.99,8854.0,Desktop,False,858.0,True,81.5,21.0
Intel Core i5-12400,172.99,6,2.5,4.4,65,Intel UHD Graphics 730,True,Alder Lake-S,Socket 1700,10,18.0,"DDR4, DDR5","Intel 600 Series, Intel 700 Series","Jan 4th, 2022",192.0,19571.0,Desktop,False,1872.0,True,159.61,39.0
Intel Core i5-13400,228.0,10,2.5,4.6,65,Intel UHD Graphics 730,True,Raptor Lake-S,Socket 1700,10,20.0,"DDR4, DDR5","Intel 600 Series, Intel 700 Series","Jan 4th, 2023",,26062.0,,True,2336.0,False,201.07,14.0
AMD Ryzen 3 4100,63.96,4,3.8,4.0,65,,True,Renoir,Socket AM4,7,8.0,DDR4,"AMD 300 Series*, AMD 400 Series, AMD 500 Series","Apr 4th, 2022",,11717.0,,True,1054.0,True,80.48,3.0
AMD Ryzen 9 7900,391.31,12,3.6,5.4,65,Radeon,True,Raphael,Socket AM5,5,64.0,DDR5,"X670E, X670, B650E, B650","Jan 14th, 2023",,36992.0,,True,3684.0,True,405.75,36.0
Intel Core i5-12600KF,219.0,10,3.7,4.9,125,,True,Alder Lake-S,Socket 1700,10,20.0,"DDR4, DDR5","Z690. H670, B660, H610","Nov 4th, 2021",260.98,27186.0,Desktop,False,2596.0,False,218.2,11.0
Intel Core i5-11400F,130.97,6,2.6,4.4,65,,True,Rocket Lake,Socket 1200,14,12.0,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",149.99,17213.0,Desktop,False,1627.0,True,140.51,23.0
AMD Ryzen 9 7900X3D,521.74,12,4.4,5.6,120,Radeon,True,Raphael,Socket AM5,5,128.0,DDR5,"X670E, X670, B650E, B650, A620","Jan 4th, 2023",,38217.0,,True,3658.0,True,414.09,32.0
Intel Core i7-9700K,339.0,8,3.6,4.9,95,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14,12.0,DDR4,,"Oct 19th, 2018",390.99,14550.0,Desktop,False,1520.0,False,125.71,48.0
AMD Ryzen 5 2600,165.0,6,3.4,3.9,65,,True,Zen,Socket AM4,12,16.0,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Apr 19th, 2018",124.88,13195.0,Desktop,False,1310.0,False,108.93,82.0
Intel Core i7-11700K,272.87,8,3.6,5.0,125,Intel UHD Graphics 750,True,Rocket Lake,Socket 1200,14,16.0,DDR4,"H510, B560, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",297.0,24749.0,Desktop,False,2509.0,True,206.26,26.0
AMD Ryzen 3 3200G,72.75,4,3.6,4.0,65,Radeon Vega 8,False,Picasso,Socket AM4,12,4.0,DDR4,,"Jul 7th, 2019",,7037.0,Desktop,False,605.0,False,44.61,10.0
AMD Ryzen 5 3600X,210.0,6,3.8,4.4,95,,True,Matisse,Socket AM4,7,32.0,DDR4,"A300, X300, A320, B350, X370, B450, X470, A520, B550, X570","Jul 7th, 2019",209.99,18285.0,Desktop,False,1647.0,False,135.74,24.0
Intel Core i7-10700K,283.95,8,3.8,5.1,125,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14,16.0,DDR4,"H410, B460, H470, Z490","Apr 30th, 2020",328.98,19277.0,Desktop,False,2344.0,False,177.8,39.0
Intel Core i9-9900K,565.0,8,3.6,5.0,95,Intel UHD Graphics 630,True,Coffee Lake-R,Socket 1151,14,16.0,DDR4,,"Oct 19th, 2018",622.0,18716.0,Desktop,False,2245.0,False,168.76,84.0
Intel Core i5-11600K,184.0,6,3.9,4.9,125,Intel UHD Graphics 750,True,Rocket Lake,Socket 1200,14,12.0,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",209.99,19781.0,Desktop,False,2091.0,True,153.7,11.0
AMD Ryzen 7 2700X,220.0,8,3.7,4.3,105,,True,Zen,Socket AM4,12,16.0,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Apr 19th, 2018",,17221.0,Desktop,False,1817.0,False,152.42,26.0
AMD Ryzen 9 3900X,365.0,12,3.8,4.6,105,,True,Matisse,Socket AM4,7,64.0,DDR4,"A300, X300, A320, B350, X370, B450, X470, A520, B550, X570","Jul 7th, 2019",359.0,32751.0,Desktop,False,3168.0,False,277.49,85.0
Intel Core i7-8700K,279.0,6,3.7,4.7,95,Intel UHD Graphics 630,True,Coffee Lake,Socket 1151,14,12.0,DDR4,,"Oct 5th, 2017",309.0,13850.0,Desktop,False,1447.0,False,124.73,73.0
Intel Core i7-13700,379.0,16,2.1,5.2,65,Intel UHD Graphics 770,True,Raptor Lake-S,Socket 1700,10,30.0,"DDR4, DDR5","H610, B660, H670, Q670, Z690, W680, B760, H770, Z790","Jan 4th, 2023",,39104.0,,True,4075.0,True,228.61,9.0
Intel Core i3-12100,114.99,4,3.3,4.3,60,Intel UHD Graphics 730,True,Alder Lake-S,Socket 1700,10,12.0,"DDR4, DDR5","Intel 600 Series, Intel 700 Series","Jan 4th, 2022",122.0,14503.0,Desktop,False,1384.0,True,113.35,7.0
Intel Core i5-9400F,135.0,6,2.9,4.1,65,,False,Coffee Lake,Socket 1151,14,9.0,DDR4,,"Jan 8th, 2019",129.99,9544.0,"Desktop, Laptop",False,987.0,False,79.26,22.0
Intel Core i7-13700F,349.99,16,2.1,5.2,65,,True,Raptor Lake-S,Socket 1700,10,30.0,"DDR4, DDR5","Intel 600 Series, Intel 700 Series","Jan 4th, 2023",,39104.0,,True,4075.0,True,321.16,41.0
Intel Core i7-7700K,310.0,4,4.2,4.5,91,Intel HD Graphics 630,True,Kaby Lake,Socket 1151,14,8.0,DDR4,,"Jan 3rd, 2017",349.44,9658.0,Desktop,False,995.0,False,87.03,18.0
Intel Core i3-13100,138.94,4,3.4,4.5,60,Intel UHD Graphics 730,True,Raptor Lake-S,Socket 1700,10,12.0,"DDR4, DDR5","Intel 600 Series, Intel 700 Series","Jan 4th, 2023",,14686.0,,True,1419.0,True,110.06,2.0
Intel Core i7-12700F,284.99,12,2.1,4.9,65,,True,Alder Lake-S,Socket 1700,10,25.0,"DDR4, DDR5","Intel 600 Series, Intel 700 Series","Jan 4th, 2022",312.96,32268.0,Desktop,False,3132.0,True,246.83,26.0
AMD Ryzen 7 3800X,275.99,8,3.9,4.5,105,,True,Matisse,Socket AM4,7,32.0,DDR4,"A300, X300, A320, B350, X370, B450, X470, A520, B550, X570","Jul 7th, 2019",248.59,23275.0,Desktop,False,2165.0,False,176.66,47.0
Intel Core i9-11900K,299.0,8,3.5,5.3,125,Intel UHD Graphics 750,True,Rocket Lake,Socket 1200,14,16.0,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",397.97,25539.0,Desktop,False,2515.0,False,212.95,28.0
Intel Core i5-10400,131.13,6,2.9,4.3,65,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14,12.0,DDR4,,"Apr 30th, 2020",149.99,12320.0,Desktop,False,1341.0,False,106.8,18.0
Intel Core i9-10900K,341.94,10,3.7,5.3,125,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14,20.0,DDR4,"H410, B460, H470, Z490","Apr 30th, 2020",389.97,23768.0,Desktop,False,2677.0,False,231.89,39.0
Intel Core i7-10700F,218.13,8,2.9,4.8,65,,True,Comet Lake,Socket 1200,14,16.0,DDR4,,"Apr 30th, 2020",249.99,16973.0,Desktop,False,2291.0,False,145.86,15.0
Intel Core i7-6700K,220.0,4,4.0,4.2,91,Intel HD Graphics 530,True,Skylake,Socket 1151,14,8.0,DDR4,,"Aug 1st, 2015",230.0,8967.0,Desktop,False,888.0,False,79.98,31.0
Intel Core i5-9600K,219.99,6,3.7,4.6,95,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14,9.0,DDR4,,"Oct 19th, 2018",232.6,10793.0,Desktop,False,1165.0,False,93.03,30.0
AMD Ryzen 5 3400G,121.99,4,3.7,4.2,65,Radeon Vega 11,True,Picasso,Socket AM4,12,4.0,DDR4,"AMD 300 series, AMD 400 Series, AMD 500 Series","Jul 7th, 2019",,9307.0,Desktop,False,875.0,False,70.49,12.0
Intel Core i5-10600K,175.48,6,4.1,4.8,125,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14,12.0,DDR4,,"Apr 30th, 2020",212.97,14534.0,Desktop,False,1615.0,False,132.52,11.0
AMD Ryzen 5 2600X,215.0,6,3.6,4.2,95,,True,Zen,Socket AM4,12,16.0,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Apr 19th, 2018",154.39,14053.0,Desktop,False,1380.0,False,113.83,20.0
Intel Core i9-10850K,249.63,10,3.6,5.2,125,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14,20.0,DDR4,"H410, B460, H470, Z490","Jul 27th, 2020",408.44,23055.0,Desktop,False,2502.0,True,226.43,19.0
AMD Ryzen 3 3100,85.99,4,3.6,3.9,65,,True,Matisse,Socket AM4,7,16.0,DDR4,,"Apr 24th, 2020",137.95,11660.0,Desktop,False,1019.0,False,78.55,8.0
