,name,price,core_count,core_clock,boost_clock,tdp,graphics,smt,codename,socket,lithography,cache,supported_mem,supported_chipset,release_date,passmark,category,passmarkPred,cinebench,cinePred,blender,blenderPred
1,AMD Ryzen 5 5600X,168.99,6,3.7,4.6,65,,True,Vermeer,Socket AM4,7,32.0,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Nov 5th, 2020",0.4732897812930149,Desktop,False,0.30112881806108893,True,0.2781594117850115,False
2,AMD Ryzen 7 5800X,228.72,8,3.8,4.7,105,,True,Vermeer,Socket AM4,7,32.0,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Nov 5th, 2020",0.6105005571456663,Desktop,False,0.4513612217795484,True,0.3842901032137802,False
3,Intel Core i7-13700K,381.99,16,3.4,5.4,125,Intel UHD Graphics 770,True,Raptor Lake-S,Socket 1700,10,30.0,"DDR4, DDR5","H610, B660, H670, Q670, Z690, W680, B760, H770, Z790","Sep 27th, 2022",0.9150516725294413,Unknown,True,0.7375498007968128,False,0.7020608236390624,False
4,Intel Core i9-13900K,568.99,24,3.0,5.8,125,Intel UHD Graphics 770,True,Raptor Lake-S,Socket 1700,10,36.0,"DDR4, DDR5","H610, B660, H670, Q670, Z690, W680, B760, H770, Z790","Sep 27th, 2022",0.9377963250234874,Unknown,True,0.9868857901726427,False,0.9084711243052919,False
5,AMD Ryzen 7 7800X3D,439.0,8,4.2,5.0,120,Radeon,True,Raphael,Socket AM5,5,96.0,DDR5,"X670E, X670, B650E, B650, A620","Jan 4th, 2023",0.5614061919639931,Unknown,True,0.40189243027888444,True,0.492353895543512,False
6,Intel Core i5-13600K,308.95,14,3.5,5.1,125,Intel UHD Graphics 770,True,Raptor Lake-S,Socket 1700,10,24.0,"DDR4, DDR5","Z690, Z790","Sep 27th, 2022",0.7606895496952085,Unknown,True,0.5737051792828685,False,0.5438054472021816,False
7,AMD Ryzen 5 5600,138.0,6,3.5,4.4,65,,True,Vermeer,Socket AM4,7,32.0,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Apr 20th, 2022",0.45716533024536254,Desktop,False,0.29166666666666663,True,0.28212917256377507,False
8,Intel Core i5-12400F,149.97,6,2.5,4.4,65,,True,Alder Lake-S,Socket 1700,10,18.0,"DDR4, DDR5","H610, B650, H670, Z690, H710, B750, H770, Z790","Jan 4th, 2022",0.4202189254735738,Desktop,False,0.2782204515272244,True,0.2928820463253823,False
9,AMD Ryzen 7 7700X,299.0,8,4.5,5.4,105,Radeon,True,Raphael,Socket AM5,5,32.0,DDR5,"X670E, X670, B650E, B650, A620","Sep 27th, 2022",0.6317157901636479,Unknown,True,0.46281540504648067,True,0.49753184438537745,False
10,AMD Ryzen 5 7600X,229.0,6,4.7,5.3,105,Radeon,True,Raphael,Socket AM5,5,32.0,DDR5,"X670E, X670, B650E, B650","Sep 27th, 2022",0.4865520330354607,Unknown,True,0.31855909694555107,True,0.38503227588111427,False
11,AMD Ryzen 7 5800X3D,329.99,8,3.4,4.5,105,,True,Vermeer,Socket AM4,7,96.0,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Apr 20th, 2022",0.5480128471235989,Desktop,False,0.3612217795484728,True,0.3795954295971556,False
12,Intel Core i7-12700K,241.99,12,3.6,5.0,125,Intel UHD Graphics 770,True,Alder Lake-S,Socket 1700,10,25.0,"DDR4, DDR5","Z690, H670, B660, H610","Nov 4th, 2021",0.7362843846271494,Desktop,False,0.5197543160690571,False,0.5240774621146742,False
13,AMD Ryzen 5 7600,212.52,6,3.8,5.1,65,Radeon,True,Raphael,Socket AM5,5,32.0,DDR5,"X670E, X670, B650E, B650","Jan 14th, 2023",0.446306451965304,Unknown,True,0.31407702523240366,True,0.366046463460941,False
14,AMD Ryzen 5 5500,99.0,6,3.6,4.2,65,,True,Cezanne,Socket AM4,7,16.0,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Apr 4th, 2022",0.4265550918744128,Desktop,False,0.2732403718459495,True,0.2653008388277124,False
15,AMD Ryzen 5 3600,104.99,6,3.6,4.2,65,,True,Matisse,Socket AM4,7,32.0,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Jul 7th, 2019",0.38008258865170746,Desktop,False,0.2294156706507304,False,0.23716731678691014,False
16,AMD Ryzen 7 5700X,178.0,8,3.4,4.6,65,,True,Vermeer,Socket AM4,7,32.0,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Apr 4th, 2022",0.5820315060412069,Desktop,False,0.38728419654714474,True,0.36582208567779345,False
17,Intel Core i5-12600K,189.99,10,3.7,4.9,125,Intel UHD Graphics 770,True,Alder Lake-S,Socket 1700,10,20.0,"DDR4, DDR5","Z690. H670, B660, H610","Nov 4th, 2021",0.5899844873167428,Desktop,False,0.398406374501992,False,0.40605474817908793,False
18,AMD Ryzen 5 5600G,139.0,6,3.9,4.4,65,Radeon Vega 7,True,Cezanne,Socket AM4,7,16.0,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Apr 13th, 2021",0.423955078765103,Desktop,False,0.2782204515272244,True,0.2652317995098208,False
19,Intel Core i5-13400F,208.98,10,2.5,4.6,65,,True,Raptor Lake-S,Socket 1700,10,20.0,"DDR4, DDR5","H610, B650, H670, Z690, H710, B750, H770, Z790","Jan 4th, 2023",0.5601171098341672,Unknown,True,0.3552456839309429,False,0.3664779591977631,False
20,AMD Ryzen 9 7900X,419.99,12,4.7,5.6,170,Radeon,True,Raphael,Socket AM5,5,64.0,DDR5,"X670E, X670, B650E, B650","Sep 27th, 2022",0.8403067578491992,Unknown,True,0.574203187250996,True,0.7557388932997342,False
21,AMD Ryzen 9 5900X,349.0,12,3.7,4.8,105,,True,Vermeer,Socket AM4,7,64.0,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Nov 5th, 2020",0.8527824510039546,Desktop,False,0.5644090305444887,True,0.5532638337533226,False
22,Intel Core i3-12100F,88.12,4,3.3,4.3,58,,True,Alder Lake-S,Socket 1700,10,12.0,"DDR4, DDR5","H610, B650, H670, Z690, H710, B750, H770, Z790",Jan-22,0.30728222159103324,Server,False,0.19721115537848605,True,0.2050467741378715,False
23,Intel Core i5-13600KF,289.99,14,3.5,5.1,125,,True,Raptor Lake-S,Socket 1700,10,24.0,"DDR4, DDR5","H610, B660, H670, Q670, Z690, W680, B760, H770, Z790","Sep 27th, 2022",0.7606895496952085,Unknown,True,0.5737051792828685,False,0.5554213124374331,False
24,AMD Ryzen 9 7950X3D,557.0,16,4.2,5.7,120,Radeon,True,Raphael,Socket AM5,5,128.0,DDR5,"X670E, X670, B650E, B650, A620","Jan 4th, 2023",0.9359173239528938,Unknown,True,0.650398406374502,True,0.9678967171804341,False
25,AMD Ryzen 7 5700G,165.94,8,3.8,4.6,65,Radeon Vega 8,True,Cezanne,Socket AM4,7,16.0,DDR4,,"Apr 13th, 2021",0.5269724049028819,Desktop,False,0.3715139442231076,True,0.34567986468293693,False
26,AMD Ryzen 9 7950X,581.74,16,4.5,5.7,170,Radeon,True,Raphael,Socket AM5,5,64.0,DDR5,"X670E, X670, B650E, B650, A620","Sep 27th, 2022",0.9541174157180624,Unknown,True,0.6437583001328021,True,1.0,False
27,Intel Core i9-12900K,344.99,16,3.2,5.2,125,Intel UHD Graphics 770,True,Alder Lake-S,Socket 1700,10,30.0,"DDR4, DDR5","Z690, H670, B660, H610","Nov 4th, 2021",0.8881775874500207,Desktop,False,0.6499003984063745,False,0.6082709102834064,False
28,AMD Ryzen 5 4500,78.2,6,3.6,4.1,65,,True,Renoir,Socket AM4,7,8.0,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Apr 4th, 2022",0.35552448163604183,Desktop,False,0.2342297476759628,True,0.23582105008802512,False
29,Intel Core i7-13700KF,382.84,16,3.4,5.4,125,,True,Raptor Lake-S,Socket 1700,10,30.0,"DDR4, DDR5","H610, B660, H670, Q670, Z690, W680, B760, H770, Z790","Sep 27th, 2022",0.9150516725294413,Unknown,True,0.7375498007968128,False,0.69779764575926,False
30,Intel Core i5-13500,247.98,14,2.5,4.8,65,Intel UHD Graphics 770,True,Raptor Lake-S,Socket 1700,10,24.0,"DDR4, DDR5","H610, B650, H670, Z690, H710, B750, H770, Z790","Jan 4th, 2023",0.7037732963359479,Unknown,True,0.4902058432934927,False,0.46777589837412403,False
31,AMD Ryzen 7 7700,296.31,8,3.6,5.3,65,Radeon,True,Raphael,Socket AM5,5,32.0,DDR5,"X670E, X670, B650E, B650","Jan 14th, 2023",0.6169896654941117,Unknown,True,0.4676294820717132,True,0.5851082191307949,False
32,Intel Core i5-10400F,114.64,6,2.9,4.3,65,,True,Comet Lake,Socket 1200,14,12.0,DDR4,,"Apr 30th, 2020",0.2624702309423409,Desktop,False,0.1900730411686587,False,0.21094963581759812,False
33,AMD Ryzen 7 3700X,239.0,8,3.6,4.4,65,,True,Matisse,Socket AM4,7,32.0,DDR4,"A300, X300, A320, B350, X370, B450, X470, A520, B550, X570","Jul 7th, 2019",0.48701085887828005,Desktop,False,0.33416334661354574,True,0.329334806172115,False
34,Intel Core i3-13100F,118.99,4,3.4,4.5,58,,True,Raptor Lake-S,Socket 1700,10,12.0,"DDR4, DDR5","B660, Z690, B760, Z790","Jan 4th, 2023",0.26253577749131507,Unknown,True,0.1746347941567065,True,0.20542649038627497,False
35,AMD Threadripper 3990X,4483.0,64,2.9,4.3,280,,True,Castle Peak,Socket TRX4,7,256.0,DDR4,,"Feb 7th, 2020",0.6068299504031113,Unknown,True,0.5137782204515272,True,0.8854292519589906,True
36,Intel Core i9-13900KS,,24,3.0,6.0,150,Intel UHD Graphics 770,True,Raptor Lake-S,Socket 1700,10,36.0,"DDR4, DDR5","B660, Z690, B760, H770, Z790","Jan 12th, 2023",0.9575258362647207,Unknown,True,1.0,False,0.9330836411336256,False
