name,price,core_count,core_clock,boost_clock,tdp,graphics,smt,codename,socket,lithography,cache,supported_mem,supported_chipset,release_date,pmprice,cpuMark,threadMark,powerPerf,category,Blender Score,Number of Benchmarks
AMD Ryzen 5 5600X,168.99,6,3.7,4.6,65,,TRUE,Vermeer,Socket AM4,7 nm,32 MB,DDR4,"AMD 300 Series*, AMD 400 Series, AMD 500 Series","Nov 5th, 2020",216.99,22088,3377,339.82,Desktop,152.16,170
AMD Ryzen 7 5800X,228.72,8,3.8,4.7,105,,TRUE,Vermeer,Socket AM4,7 nm,32 MB,DDR4,"AMD 300 Series*, AMD 400 Series, AMD 500 Series","Nov 5th, 2020",333.99,28368,3485,270.17,Desktop,213.65,272
AMD Ryzen 5 5600,138,6,3.5,4.4,65,,TRUE,Vermeer,Socket AM4,7 nm,32 MB,DDR4,"AMD 300 Series*, AMD 400 Series, AMD 500 Series","Apr 20th, 2022",189.99,21350,3208,328.46,Desktop,154.46,129
Intel Core i5-12400F,149.97,6,2.5,4.4,65,,TRUE,Alder Lake-S,Socket 1700,10 nm,18 MB,"DDR4, DDR5","Intel 600 Series, Intel 700 Series","Jan 4th, 2022",174.98,19659,3567,302.44,Desktop,160.69,102
AMD Ryzen 7 5800X3D,329.99,8,3.4,4.5,105,,TRUE,Vermeer,Socket AM4,7 nm,96 MB,DDR4,"AMD 300 Series*, AMD 400 Series, AMD 500 Series","Apr 20th, 2022",599,25508,2850,242.93,Desktop,210.93,120
Intel Core i7-12700K,241.99,12,3.6,5,125,Intel UHD Graphics 770,TRUE,Alder Lake-S,Socket 1700,10 nm,25 MB,"DDR4, DDR5","Z690, H670, B660, H610","Nov 4th, 2021",409,34125,4047,179.61,Desktop,294.64,84
AMD Ryzen 5 5500,99,6,3.6,4.2,65,,TRUE,Cezanne,Socket AM4,7 nm,16 MB,DDR4,"AMD 300 Series*, AMD 400 Series, AMD 500 Series","Apr 4th, 2022",159,19949,3096,306.9,Desktop,144.71,102
AMD Ryzen 5 3600,104.99,6,3.6,4.2,65,,TRUE,Matisse,Socket AM4,7 nm,32 MB,DDR4,"AMD 300 Series, AMD 400 Series, AMD 500 Series","Jul 7th, 2019",153.49,17822,2576,274.18,Desktop,128.41,159
AMD Ryzen 7 5700X,178,8,3.4,4.6,65,,TRUE,Vermeer,Socket AM4,7 nm,32 MB,DDR4,"AMD 300 Series*, AMD 400 Series, AMD 500 Series","Apr 4th, 2022",299,27065,3397,416.38,Desktop,202.95,161
Intel Core i5-12600K,189.99,10,3.7,4.9,125,Intel UHD Graphics 770,TRUE,Alder Lake-S,Socket 1700,10 nm,20 MB,"DDR4, DDR5","Z690. H670, B660, H610","Nov 4th, 2021",277.98,27429,3965,182.86,Desktop,226.26,55
AMD Ryzen 5 5600G,139,6,3.9,4.4,65,Radeon Vega 7,TRUE,Cezanne,Socket AM4,7 nm,16 MB,DDR4,"AMD 300 Series*, AMD 400 Series, AMD 500 Series","Apr 13th, 2021",179.97,19830,3187,305.08,Desktop,144.67,93
AMD Ryzen 9 5900X,349,12,3.7,4.8,105,,TRUE,Vermeer,Socket AM4,7 nm,64 MB,DDR4,"AMD 300 Series*, AMD 400 Series, AMD 500 Series","Nov 5th, 2020",393.03,39457,3494,375.78,Desktop,311.55,376
