,name,Blender Score,Number of Benchmarks
75,AMD Ryzen 9 5950X,413.43,458
51,Intel Core i9-13900K,517.35,429
41,AMD Ryzen 9 7950X,570.38,390
117,AMD Ryzen 9 5900X,311.55,376
45,AMD Ryzen 9 7950X3D,551.78,278
196,AMD Ryzen 7 5800X,213.65,272
82,Intel Core i7-13700K,397.76,252
140,AMD Ryzen 7 7800X3D,276.26,222
70,AMD Ryzen 9 7900X,428.86,176
310,AMD Ryzen 5 5600X,152.16,170
221,AMD Ryzen 7 5700X,202.95,161
361,AMD Ryzen 5 3600,128.41,159
249,AMD Ryzen 7 3700X,181.81,134
304,AMD Ryzen 5 5600,154.46,129
83,Intel Core i7-13700KF,395.29,128
202,AMD Ryzen 7 5800X3D,210.93,120
138,AMD Ryzen 7 7700X,279.26,119
323,AMD Ryzen 5 5500,144.71,102
292,Intel Core i5-12400F,160.69,102
194,AMD Ryzen 5 7600X,214.08,102
95,Intel Core i9-13900HX,357.68,96
407,Apple M2,110.59,95
50,Intel Core i9-13900KF,521.44,95
116,Intel Core i5-13600KF,312.8,94
324,AMD Ryzen 5 5600G,144.67,93
99,Intel Core i9-12900K,343.42,91
242,Intel Core i7-12700H,186.35,88
450,Apple M1,95.17,87
121,Intel Core i5-13600K,306.07,86
139,AMD Ryzen 9 3900X,277.49,85
126,Intel Core i7-12700K,294.64,84
272,Intel Core i9-9900K,168.76,84
413,AMD Ryzen 5 2600,108.93,82
274,Apple M1 Pro,168.41,77
297,AMD Ryzen 7 5800H,159.8,76
371,Intel Core i7-8700K,124.73,73
104,AMD Ryzen 7 7700,330.0,69
158,Apple M2 Max,254.06,68
391,AMD Ryzen 5 5600H,115.73,67
203,Intel Core i9-13900H,210.88,65
228,Apple M2 Pro,198.08,64
149,Intel Core i5-13500,262.02,64
93,Intel Core i9-13980HX,362.89,63
209,Apple M1 Max,209.41,62
234,AMD Ryzen 7 5700G,191.28,59
147,Intel Core i7-13700HX,265.04,57
184,Intel Core i5-12600K,226.26,55
285,Intel Core i7-12650H,163.28,52
479,Intel Core i7-9750H,82.61,52
326,Intel Core i7-11800H,144.08,51
49,Intel Core i9-13900KS,531.61,49
368,Intel Core i7-9700K,125.71,48
490,Intel Core i7-8750H,79.44,47
259,AMD Ryzen 7 3800X,176.66,47
406,Intel Core i5-11400H,111.95,46
175,AMD Ryzen 9 7940HS w/ Radeon 780M Graphics,235.02,45
125,Intel Core i7-12700KF,295.41,44
290,Intel Core i5-12500H,161.88,44
219,AMD Ryzen 5 7600,203.08,43
204,Intel Core i7-13700H,210.71,42
111,Intel Core i7-13700F,321.16,41
298,Intel Core i5-12400,159.61,39
258,Intel Core i7-10700K,177.8,39
178,Intel Core i9-10900K,231.89,39
488,AMD Ryzen 5 3500X,79.69,38
