name,Blender Score,Number of Benchmarks
AMD EPYC 9654,2270.586,3
Intel Xeon Gold 6448H,1026.0059999999999,1
AMD EPYC 9754,3085.23,6
AMD EPYC 9654,2678.42,3
Genuine Intel 0000%,1371.6719999999998,1
AMD EPYC 7763,1337.142,2
Intel Xeon Platinum 8462Y+,1172.778,1
AMD EPYC 9534,1116.162,1
AMD EPYC 9554,1848.32,1
AMD EPYC 7713,1092.462,2
AMD EPYC 9554P,1820.07,1
Intel Xeon Gold 6448Y,872.658,1
AMD EPYC 7543,795.318,2
Intel Xeon Platinum 8358,782.8679999999999,2
AMD EPYC 9254,749.25,1
Intel Xeon Gold 6442Y,742.968,1
AMD EPYC 7763,1216.13,3
Intel Xeon w9-3495X,1193.4,2
AMD Ryzen Threadripper PRO 5995WX,1191.4,11
Intel Xeon Gold 6338,713.994,1
Intel Xeon E7-8894 v4,355.47,1
Intel Xeon Gold 6418H,700.236,2
QEMU Virtual version 2.5+,679.482,2
AMD Ryzen Threadripper 3990X,1101.26,5
AMD EPYC 7532,642.744,1
AMD EPYC 7T83,1045.82,1
AMD EPYC 7B12,625.278,1
AMD Ryzen Threadripper PRO 3995WX,1023.28,3
AMD EPYC 9354P,960.37,1
Intel Xeon E7-8880 v3,279.618,1
AMD EPYC 9374F,889.76,1
Intel Xeon Gold 6240R,488.226,1
AMD Ryzen Threadripper PRO 5975WX,794.1,6
Intel Xeon Silver 4316,443.20199999999994,1
Intel Xeon Gold 5320T,442.224,1
AMD Ryzen 9 7950X,719.67,1
Intel Xeon w7-2495X,715.04,5
AMD Ryzen Threadripper 3970X,699.69,27
AMD Ryzen Threadripper PRO 3975WX,682.28,3
Intel Xeon Gold 6154,361.026,1
Intel Xeon Gold 6140,348.32399999999996,1
AMD Ryzen 9 7950X,570.38,390
AMD Ryzen Threadripper 2990WX,556.84,3
Intel Xeon Silver 4410Y,332.472,2
Intel Xeon E5-2696 v4,332.09999999999997,4
AMD Ryzen 9 7950X3D,551.78,278
AMD Ryzen Threadripper 3960X,542.69,12
Intel Core i9-14900KF,540.49,7
Intel Core i9-14900K,531.88,16
Intel Core i9-13900KS,531.61,49
Intel Core i9-13900KF,521.44,95
Intel Core i9-13900K,517.35,429
AMD EPYC 7502P,512.28,3
