Cores,GHz,CPU ScoreSingle 15,CPU ScoreMulti 15,match
4,3.6,179,1019,AMD Ryzen 3 3100
4,3.8,200,1129,AMD Ryzen 3 3300X
6,3.6,188,1129,AMD Ryzen 5 3500
6,3.6,188,1129,AMD Ryzen 5 3500X
6,3.6,197,1578,AMD Ryzen 5 3600
6,3.8,204,1647,AMD Ryzen 5 3600X
6,4,217,1757,AMD Ryzen 5 3600XT
8,3.9,209,2165,AMD Ryzen 7 3800X
12,3.8,214,3168,AMD Ryzen 9 3900X
12,4.1,226,3297,AMD Ryzen 9 3900XT
16,3.5,217,3897,AMD Ryzen 9 3950X
4,3.1,154,604,AMD Ryzen 3 1200
4,3.6,154,605,AMD Ryzen 3 3200G
6,3.4,164,1310,AMD Ryzen 5 2600
6,3.6,176,1380,AMD Ryzen 5 2600X
6,3.6,169,875,AMD Ryzen 5 3400G
8,3.2,164,1529,AMD Ryzen 7 2700
8,3.7,177,1817,AMD Ryzen 7 2700X
4,3.5,142,576,AMD Ryzen 3 2200G
4,3.2,139,731,AMD Ryzen 5 1400
4,3.5,151,712,AMD Ryzen 5 1500X
6,3.2,147,1094,AMD Ryzen 5 1600
6,3.3,151,1126,AMD Ryzen 5 1600X
4,3.6,155,811,AMD Ryzen 5 2400G
8,3,151,1403,AMD Ryzen 7 1700
8,3.4,155,1532,AMD Ryzen 7 1700X
8,3.6,163,1617,AMD Ryzen 7 1800X
8,3.2,91,584,AMD FX-8320E
8,4,98,673,AMD FX-8370
10,3,152,1819,Intel Core i7-6950X
6,3.3,139,1085,Intel Core i7-5820K
6,3.5,142,1149,Intel Core i7-5930K
8,3,177,1360,Intel Core i7-5960X
4,3.7,141,728,Intel Core i7-4820K
6,3.4,139,1064,Intel Core i7-4930K
10,2.8,231,2541,Intel Core i9-10900
10,3.7,234,2677,Intel Core i9-10900K
10,3.7,234,2677,Intel Core i9-10900KF
10,3.7,198,2358,Intel Core i9-10900X
14,3.3,201,3117,Intel Core i9-10940X
18,3,211,3800,Intel Core i9-10980XE
8,3.8,196,1850,Intel Core i7-9800X
8,3.1,219,1931,Intel Core i9-9900
8,3.6,219,2245,Intel Core i9-9900K
8,3.6,219,2245,Intel Core i9-9900KF
8,4,222,2201,Intel Core i9-9900KS
10,3.5,197,2114,Intel Core i9-9900X
18,3,201,3240,Intel Core i9-9980XE
10,3.3,188,2194,Intel Core i9-7900X
12,2.9,188,2438,Intel Core i9-7920X
16,2.8,184,3161,Intel Core i9-7960X
8,2.9,214,2291,Intel Core i7-10700
8,2.9,214,2291,Intel Core i7-10700F
8,3.8,228,2344,Intel Core i7-10700K
8,3.8,228,2344,Intel Core i7-10700KF
8,3,209,1491,Intel Core i7-9700
8,3,209,1491,Intel Core i7-9700F
8,3.6,214,1520,Intel Core i7-9700K
8,3.6,214,1520,Intel Core i7-9700KF
6,3.7,219,1448,Intel Core i7-8086K
6,3.2,203,1434,Intel Core i7-8700
6,3.7,208,1447,Intel Core i7-8700K
