index,name,price,core_count,core_clock,boost_clock,tdp,graphics,smt,codename,socket,lithography,cache,supported_mem,supported_chipset,release_date,passmark,category,passmarkPred,cinebench,cinePred,blender,blenderPred,core_count_spec,boost_clock_spec,cache_spec,tdp_spec
1,AMD Ryzen 5 5600X,168.99,0.07936507936507936,3.7,0.6818181818181818,0.8431372549019608,,True,Vermeer,AM4,7,0.12156862745098039,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Nov 5th, 2020",0.4732897812930149,Desktop,False,0.3011288180610889,True,0.2781594117850115,False,6,4.6,32.0,65
2,AMD Ryzen 7 5800X,228.72,0.1111111111111111,3.8,0.7045454545454545,0.6862745098039216,,True,Vermeer,AM4,7,0.12156862745098039,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Nov 5th, 2020",0.6105005571456663,Desktop,False,0.4513612217795484,True,0.3842901032137802,False,8,4.7,32.0,105
3,Intel Core i7-13700K,381.99,0.23809523809523808,3.4,0.8636363636363636,0.607843137254902,Intel UHD Graphics 770,True,Raptor Lake-S,1700,10,0.11372549019607843,"DDR4, DDR5","H610, B660, H670, Q670, Z690, W680, B760, H770, Z790","Sep 27th, 2022",0.9150516725294412,Unknown,True,0.7375498007968128,False,0.7020608236390624,False,16,5.4,30.0,125
4,Intel Core i9-13900K,568.99,0.36507936507936506,3.0,0.9545454545454545,0.607843137254902,Intel UHD Graphics 770,True,Raptor Lake-S,1700,10,0.13725490196078433,"DDR4, DDR5","H610, B660, H670, Q670, Z690, W680, B760, H770, Z790","Sep 27th, 2022",0.9377963250234874,Unknown,True,0.9868857901726428,False,0.908471124,False,24,5.8,36.0,125
5,AMD Ryzen 7 7800X3D,439.0,0.1111111111111111,4.2,0.7727272727272726,0.6274509803921569,Radeon,True,Raphael,AM5,5,0.37254901960784315,DDR5,"X670E, X670, B650E, B650, A620","Jan 4th, 2023",0.5614061919639931,Unknown,True,0.4018924302788844,True,0.492353896,False,8,5.0,96.0,120
6,Intel Core i5-13600K,308.95,0.20634920634920634,3.5,0.7954545454545453,0.607843137254902,Intel UHD Graphics 770,True,Raptor Lake-S,1700,10,0.09019607843137255,"DDR4, DDR5","Z690, Z790","Sep 27th, 2022",0.7606895496952085,Unknown,True,0.5737051792828685,False,0.5438054472021816,False,14,5.1,24.0,125
7,AMD Ryzen 5 5600,138.0,0.07936507936507936,3.5,0.6363636363636364,0.8431372549019608,,True,Vermeer,AM4,7,0.12156862745098039,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Apr 20th, 2022",0.4571653302453625,Desktop,False,0.2916666666666666,True,0.282129173,False,6,4.4,32.0,65
8,Intel Core i5-12400F,149.97,0.07936507936507936,2.5,0.6363636363636364,0.8431372549019608,,True,Alder Lake-S,1700,10,0.06666666666666667,"DDR4, DDR5","H610, B650, H670, Z690, H710, B750, H770, Z790","Jan 4th, 2022",0.4202189254735738,Desktop,False,0.2782204515272244,True,0.2928820463253823,False,6,4.4,18.0,65
9,AMD Ryzen 7 7700X,299.0,0.1111111111111111,4.5,0.8636363636363636,0.6862745098039216,Radeon,True,Raphael,AM5,5,0.12156862745098039,DDR5,"X670E, X670, B650E, B650, A620","Sep 27th, 2022",0.6317157901636479,Unknown,True,0.4628154050464806,True,0.4975318443853774,False,8,5.4,32.0,105
10,AMD Ryzen 5 7600X,229.0,0.07936507936507936,4.7,0.8409090909090907,0.6862745098039216,Radeon,True,Raphael,AM5,5,0.12156862745098039,DDR5,"X670E, X670, B650E, B650","Sep 27th, 2022",0.4865520330354607,Unknown,True,0.318559097,True,0.3850322758811142,False,6,5.3,32.0,105
11,AMD Ryzen 7 5800X3D,329.99,0.1111111111111111,3.4,0.6590909090909091,0.6862745098039216,,True,Vermeer,AM4,7,0.37254901960784315,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Apr 20th, 2022",0.5480128471235989,Desktop,False,0.3612217795484728,True,0.3795954295971556,False,8,4.5,96.0,105
12,Intel Core i7-12700K,241.99,0.1746031746031746,3.6,0.7727272727272726,0.607843137254902,Intel UHD Graphics 770,True,Alder Lake-S,1700,10,0.09411764705882353,"DDR4, DDR5","Z690, H670, B660, H610","Nov 4th, 2021",0.7362843846271494,Desktop,False,0.5197543160690571,False,0.5240774621146742,False,12,5.0,25.0,125
13,AMD Ryzen 5 7600,212.52,0.07936507936507936,3.8,0.7954545454545453,0.8431372549019608,Radeon,True,Raphael,AM5,5,0.12156862745098039,DDR5,"X670E, X670, B650E, B650","Jan 14th, 2023",0.446306452,Unknown,True,0.3140770252324036,True,0.366046463,False,6,5.1,32.0,65
14,AMD Ryzen 5 5500,99.0,0.07936507936507936,3.6,0.5909090909090909,0.8431372549019608,,True,Cezanne,AM4,7,0.058823529411764705,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Apr 4th, 2022",0.4265550918744128,Desktop,False,0.2732403718459495,True,0.2653008388277124,False,6,4.2,16.0,65
15,AMD Ryzen 5 3600,104.99,0.07936507936507936,3.6,0.5909090909090909,0.8431372549019608,,True,Matisse,AM4,7,0.12156862745098039,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Jul 7th, 2019",0.3800825886517074,Desktop,False,0.2294156706507304,False,0.2371673167869101,False,6,4.2,32.0,65
16,AMD Ryzen 7 5700X,178.0,0.1111111111111111,3.4,0.6818181818181818,0.8431372549019608,,True,Vermeer,AM4,7,0.12156862745098039,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Apr 4th, 2022",0.5820315060412069,Desktop,False,0.3872841965471447,True,0.3658220856777934,False,8,4.6,32.0,65
17,Intel Core i5-12600K,189.99,0.14285714285714285,3.7,0.7500000000000001,0.607843137254902,Intel UHD Graphics 770,True,Alder Lake-S,1700,10,0.07450980392156863,"DDR4, DDR5","Z690. H670, B660, H610","Nov 4th, 2021",0.5899844873167428,Desktop,False,0.398406375,False,0.4060547481790879,False,10,4.9,20.0,125
