chipset,memory,core_clock,boost_clock,CUDA,Metal,OpenCL,Vulkan,api_score
GeForce RTX 3060,12.0,1320.0,1777.0,38.423837352932104,,42.50257889142518,52.36343653572791,44.43
GeForce RTX 3060,8.0,1320.0,1867.0,38.423837352932104,,42.50257889142518,52.36343653572791,44.43
Radeon RX 6600,8.0,1626.0,1626.0,,45.87323867721064,33.76553433584833,43.437201400686476,41.03
Radeon RX 6800 XT,16.0,1825.0,2250.0,,90.23878504672898,68.98066702678214,70.0236937905211,76.41
Radeon RX 6700 XT,12.0,2321.0,2321.0,,,45.33686769241492,49.09581527580349,47.22
GeForce RTX 3060 Ti,8.0,1410.0,1710.0,49.547312633171735,,52.752509191656934,66.53571403806816,56.28
Radeon RX 6600 XT,8.0,1968.0,2602.0,,50.45433141624731,32.21383453275018,45.234393093644904,42.63
Radeon RX 580,8.0,1366.0,1386.0,,27.437365204888568,20.048646082001774,33.418784453766946,26.97
Radeon RX 580,4.0,1257.0,1366.0,,27.437365204888568,20.048646082001774,33.418784453766946,26.97
GeForce RTX 3070 Ti,8.0,1575.0,1830.0,63.894944878485624,,64.40405826900626,72.94601809797871,67.08
GeForce RTX 3050,8.0,1550.0,1550.0,28.40590742056018,,31.829144086845908,39.501639912630445,33.25
GeForce GTX 1660 SUPER,6.0,1530.0,1815.0,25.408362412376867,,27.13048667863179,39.16869951114655,30.57
Radeon RX 6800,16.0,1700.0,1700.0,,77.96876347951115,44.187109027862476,64.93828658600006,62.36
GeForce RTX 3070,8.0,1500.0,1815.0,57.73018250316525,,59.17019812159124,69.61730055819436,62.17
RTX A6000,48.0,1455.0,1860.0,86.34137510422136,,87.31729077000819,75.97680546406407,83.21
Radeon R7 240,4.0,780.0,780.0,,,3.21843907369008,4.432375273029852,3.83
Radeon R7 240,2.0,730.0,730.0,,,3.21843907369008,4.432375273029852,3.83
Radeon R7 240,1.0,730.0,780.0,,,3.21843907369008,4.432375273029852,3.83
GeForce RTX 3080,10.0,1440.0,1740.0,79.38098693759072,,79.31340065169283,87.57480151163193,82.09
GeForce RTX 3080,12.0,1260.0,1800.0,79.38098693759072,,79.31340065169283,87.57480151163193,82.09
GeForce RTX 3090,24.0,1395.0,1800.0,91.50759271840164,,89.29723901793027,96.30745068127449,92.37
GeForce GTX 1060,3.0,1506.0,1708.0,12.405880400209988,9.009795111430625,14.889395180261026,22.591699892521582,14.72
GeForce GTX 1060,6.0,1544.0,1759.0,12.405880400209988,9.009795111430625,14.889395180261026,22.591699892521582,14.72
Radeon RX 6900 XT,16.0,1950.0,2365.0,,95.60039539899354,59.548850825071,79.66111708213431,78.27
Radeon RX 6500 XT,4.0,2310.0,2825.0,,,23.56821864817299,28.43703498249142,26.0
Radeon RX 6500 XT,8.0,2310.0,2855.0,,,23.56821864817299,28.43703498249142,26.0
GeForce RTX 3080 Ti,12.0,1365.0,1800.0,90.51019439211933,,91.09131105264075,91.58175640536699,91.06
GeForce RTX 3090 Ti,24.0,1560.0,1860.0,100.0,,100.0,97.86918143050306,99.29
Quadro RTX 8000,48.0,1395.0,1770.0,55.557688447642285,,55.06884594608722,62.70586970842145,57.78
GeForce RTX 2060,6.0,1365.0,1755.0,30.352171664144773,,31.43539702730488,42.7047325174219,34.83
GeForce RTX 2060,12.0,1470.0,1650.0,30.352171664144773,,31.43539702730488,42.7047325174219,34.83
GeForce GTX 1050 Ti,4.0,1341.0,1455.0,8.388390513541056,5.6309130122214235,10.492193625956194,15.558076483028811,10.02
Radeon RX 5700 XT,8.0,1650.0,1905.0,,41.499730409777136,31.1494667967729,39.980113025690805,37.54
GeForce GTX 1080 Ti,11.0,1493.0,1632.0,21.76804959392274,19.14762760603882,27.35603948491871,59.78903720140068,32.02
GeForce RTX 2060 SUPER,8.0,1470.0,1665.0,36.8574251922305,,37.672384951820035,51.5582012966751,42.03
GeForce GTX 1660 Ti,6.0,1500.0,1845.0,25.872286384831554,,27.38967833556953,37.74495024789377,30.34
GeForce GTX 1660 Ti,6.0,1500.0,1845.0,,,,36.586866830773495,36.59
GeForce RTX 2070 SUPER,8.0,1605.0,1770.0,41.813463082481555,,42.96360365226785,57.59849530215303,47.46
GeForce GTX 1050,2.0,1404.0,1518.0,7.0852762251798795,5.624388928828181,8.93143720922128,13.308497729085047,8.74
GeForce GTX 1050,3.0,1455.0,1569.0,7.0852762251798795,5.624388928828181,8.93143720922128,13.308497729085047,8.74
GeForce GTX 1080,8.0,1721.0,1860.0,20.202401723126332,15.114557872034506,24.485955496697972,46.67049890788059,26.62
Quadro RTX 6000,24.0,1440.0,1770.0,61.48131735787296,,58.93645123629963,71.72821135110772,64.05
GeForce GTX 1070,8.0,1506.0,1683.0,17.919849921254983,12.135424155283967,21.51452368920873,37.45319834968623,22.26
GeForce GT 710,1.0,954.0,954.0,1.0963005280548437,1.6417325664989217,1.8181140985206223,2.315286204625039,1.72
GeForce GT 710,2.0,954.0,954.0,1.0963005280548437,1.6417325664989217,1.8181140985206223,2.315286204625039,1.72
GeForce GT 1030,2.0,1266.0,1506.0,4.448858197202236,,5.5416761051769505,7.986943105779565,5.99
GeForce GTX 1650 SUPER,4.0,1530.0,1800.0,22.34050273291542,,24.138354039972814,34.766334985958466,27.08
GeForce RTX 2080 Ti,11.0,1350.0,1665.0,68.02784254083933,,63.594138249490314,91.8240820996429,74.48
GeForce GTX 1660,6.0,1530.0,1785.0,23.631006237840843,,24.94827405948875,36.01366016017751,28.2
GeForce RTX 2080 SUPER,8.0,1650.0,1815.0,48.710033042028236,,50.49827493073585,65.19708768158652,54.8
GeForce GTX 970,4.0,1140.0,1279.0,10.410701602692773,9.047753414809488,13.494245412884002,24.39781576118989,14.34
GeForce GT 730,2.0,902.0,927.0,1.5583137757465337,2.131038820992092,2.512885744654899,3.350490586970842,2.39
GeForce GT 730,4.0,902.0,902.0,1.5583137757465337,2.131038820992092,2.512885744654899,3.350490586970842,2.39
GeForce GT 730,1.0,902.0,902.0,1.5583137757465337,2.131038820992092,2.512885744654899,3.350490586970842,2.39
Radeon RX 5600 XT,6.0,1235.0,1620.0,,34.45431344356578,25.92121312446636,34.02494192698401,31.47
Radeon RX 570,8.0,1168.0,1286.0,,24.827138749101366,18.521528515917684,30.413396664702006,24.59
Radeon RX 570,4.0,1168.0,1284.0,,24.827138749101366,18.521528515917684,30.413396664702006,24.59
GeForce RTX 2070,8.0,1410.0,1845.0,37.20517709909521,,37.93200787607381,51.45042471310197,42.2
Radeon RX 5500 XT,8.0,1685.0,1845.0,,25.445147375988498,18.76950722263848,24.174024893388342,22.8
Radeon RX 5500 XT,4.0,1647.0,1845.0,,25.445147375988498,18.76950722263848,24.174024893388342,22.8
GeForce RTX 2080,8.0,1515.0,1710.0,46.60135719358924,,46.605656136193346,60.829733384183335,51.35
GeForce GTX 1070 Ti,8.0,1607.0,1683.0,19.650966556526576,14.139503953989935,23.53457979752217,41.54664910030163,24.72
RTX A4000,16.0,735.0,1560.0,48.10509758206467,,51.01277683876701,58.22936587733592,52.45
RTX A2000,6.0,562.0,1200.0,32.611030478955016,,33.858688076112145,41.0592518115314,35.84
RTX A2000,12.0,562.0,1200.0,32.611030478955016,,33.858688076112145,41.0592518115314,35.84
TITAN RTX,24.0,1350.0,1770.0,64.35734027112991,,60.46745020822805,77.417716603682,67.41
RTX A4500,20.0,1050.0,1650.0,66.05138884599945,,68.00815922912057,,67.03
Radeon HD 5450,1.0,650.0,650.0,,,1.0905661363675967,,1.09
Radeon HD 5450,2.0,,,,,1.0905661363675967,,1.09
Radeon HD 5450,0.5,650.0,650.0,,,1.0905661363675967,,1.09
Radeon RX 590,8.0,1580.0,1600.0,,30.205355859094176,23.384498771541583,34.26658114620532,29.29
Radeon PRO W6800,32.0,2075.0,2320.0,,74.45287562904386,39.04252121486696,56.58594459660923,56.69
GeForce GTX 750 Ti,2.0,1072.0,1150.0,5.290723527776921,4.058015815959742,6.508146160414016,9.477280449329127,6.33
GeForce GTX 750 Ti,4.0,1124.0,1202.0,5.290723527776921,4.058015815959742,6.508146160414016,9.477280449329127,6.33
GeForce GTX 960,4.0,1241.0,1304.0,7.306156007781861,6.1878324946081955,10.00917423199568,16.347522795825675,9.96
GeForce GTX 960,2.0,1279.0,1342.0,7.306156007781861,6.1878324946081955,10.00917423199568,16.347522795825675,9.96
GeForce GTX 980 Ti,6.0,1178.0,1279.0,14.36972331161412,12.561861969805895,18.182983672829284,38.476732656103735,20.9
RTX A5000,24.0,1170.0,1695.0,74.41080968409351,,72.64428287650944,75.6246437610512,74.23
Quadro RTX 4000,8.0,1005.0,1545.0,36.52725195318532,,37.658584397706875,46.837312346149844,40.34
Quadro P4000,8.0,1227.0,1480.0,15.510808140073497,,19.159372876335183,29.321214852823907,21.33
Radeon RX 480,8.0,1120.0,1316.0,,26.140851905104242,20.12239279304396,34.585105571542485,26.95
Radeon RX 480,4.0,1208.0,1306.0,,26.140851905104242,20.12239279304396,34.585105571542485,26.95
Radeon RX 470,4.0,932.0,1216.0,,23.695506829618978,17.251015002875114,28.602475470651456,23.18
Radeon RX 470,8.0,1121.0,1260.0,,23.695506829618978,17.251015002875114,28.602475470651456,23.18
Quadro RTX 5000,16.0,1620.0,1815.0,45.2871607016027,,46.27832424332189,51.20878549388066,47.59
GeForce GTX 980,4.0,1126.0,1216.0,11.9163527159312,9.97773184759166,15.353007544999912,29.33974967929827,16.65
Radeon RX 5700,8.0,1465.0,1725.0,,35.193907260963336,22.88681628883584,36.62530943383143,31.57
Radeon R9 390,8.0,1000.0,1060.0,,,20.901261565805292,35.02925493187255,27.97
Quadro P2000,5.0,1370.0,1470.0,8.790407003674769,,11.215428914948857,16.876795062926877,12.29
GeForce GTX 770,2.0,1046.0,1085.0,5.792861995491462,6.106578001437815,8.461355834741848,12.816295114932567,8.29
GeForce GTX 770,4.0,1137.0,1137.0,5.792861995491462,6.106578001437815,8.461355834741848,12.816295114932567,8.29
Radeon Pro WX 3200,4.0,1250.0,1290.0,,,7.666530171287181,12.317914225288632,9.99
Quadro M2000,4.0,872.0,1180.0,5.516189049810086,,7.370249525170329,11.533273237874008,8.14
Radeon Pro WX 4100,4.0,925.0,975.0,,12.35902228612509,9.44766418651658,15.191498803869223,12.33
Quadro P5000,16.0,1607.0,1733.0,17.765081215452554,,21.37393054418094,38.81653780813369,25.99
T1000,8.0,1065.0,1395.0,14.96166584318933,,16.812416142466326,24.390264535589225,18.72
T1000,4.0,1065.0,1395.0,14.96166584318933,,16.812416142466326,24.390264535589225,18.72
Quadro P1000,4.0,1354.0,1455.0,5.969412963592009,,7.678174388820157,10.807669105155497,8.15
Radeon PRO W6600,8.0,2331.0,2580.0,,44.56901509705248,32.645533116102385,40.72150608466526,39.31
GeForce GTX 660,2.0,1020.0,1020.0,3.790040298922275,4.21637311286844,5.829762672289115,8.324688832645702,5.54
GeForce GTX 660,3.0,980.0,980.0,3.790040298922275,4.21637311286844,5.829762672289115,8.324688832645702,5.54
Radeon Pro WX 7100,8.0,900.0,1080.0,,21.756667864845433,17.899209778877484,26.36868564296363,22.01
T400,4.0,420.0,1425.0,6.951525491770374,,8.104697764379933,12.233477793572098,9.1
T400,2.0,420.0,1425.0,6.951525491770374,,8.104697764379933,12.233477793572098,9.1
GeForce GTX 950,2.0,1190.0,1393.0,6.623645122440787,5.238281811646298,8.78480632176898,13.577595950490586,8.56
Quadro P400,2.0,1070.0,1170.0,2.6848770960071646,,3.3762829113593193,4.767375099677564,3.61
Radeon R9 380,4.0,970.0,1000.0,,,13.806482949694193,24.161668342405434,18.98
Radeon R9 380,2.0,990.0,990.0,,,13.806482949694193,24.161668342405434,18.98
GeForce GTX 760,2.0,1085.0,1085.0,4.592544699379305,4.881236520488857,6.345989649584415,9.898089657802586,6.43
GeForce GTX 760,4.0,1085.0,1150.0,4.592544699379305,4.881236520488857,6.345989649584415,9.898089657802586,6.43
T600,4.0,735.0,1335.0,11.242249019547295,,12.669231037306801,18.553853621329264,14.16
Radeon Pro WX 3100,4.0,925.0,1219.0,,,5.794830019690185,10.23171653434109,8.01
Quadro M6000,24.0,988.0,1114.0,12.885854460673814,,16.742550837268464,32.52636688277918,20.72
Quadro M6000,12.0,988.0,988.0,12.885854460673814,,16.742550837268464,32.52636688277918,20.72
Quadro K6000,12.0,902.0,902.0,7.224759132878363,7.537131560028756,8.527339734095383,16.548659986825225,9.96
Radeon Pro WX 9100,16.0,1200.0,1500.0,,35.64940690150971,29.04445102720033,48.17181985230385,37.62
Radeon R9 270X,2.0,1020.0,1020.0,,17.657764198418402,,,17.66
Radeon R9 270X,4.0,1050.0,1100.0,,17.657764198418402,,,17.66
Radeon Pro W5500,8.0,1354.0,1900.0,,24.7441049604601,,23.381146205318448,24.06
Quadro P620,2.0,1266.0,1354.0,4.991504029892228,,6.301569116032689,9.169053149811047,6.82
Radeon RX 460,2.0,1090.0,1210.0,,11.612904385334291,9.547718203836972,14.947113684429498,12.04
Radeon RX 460,4.0,1175.0,1250.0,,11.612904385334291,9.547718203836972,14.947113684429498,12.04
GeForce GTX 650,2.0,1110.0,1110.0,1.835751011333107,2.4352983465133,2.9536409416438687,3.9312484831674928,2.79
GeForce GTX 650,1.0,1150.0,1150.0,1.835751011333107,2.4352983465133,2.9536409416438687,3.9312484831674928,2.79
Radeon R9 Fury,4.0,1050.0,1050.0,,,23.976197529143214,47.07689214020733,35.53
Radeon VII,16.0,1400.0,1750.0,,41.48490294751977,33.92769084667793,53.9265402350657,43.11
