chipset,memory,core_clock,boost_clock,Median Score,Number of Benchmarks
GeForce RTX 3060,12.0,1320.0,1777.0,2538.63,527
GeForce RTX 3060,8.0,1320.0,1867.0,2538.63,527
GeForce RTX 4070 Ti,12.0,2310.0,2640.0,7271.54,377
GeForce RTX 4070,12.0,1920.0,2490.0,6005.34,408
GeForce RTX 4090,24.0,2235.0,2640.0,13092.27,1057
Radeon RX 6600,8.0,1626.0,1626.0,1012.54,97
Radeon RX 6800 XT,16.0,1825.0,2250.0,2430.69,91
Radeon RX 6950 XT,16.0,2009.0,2368.0,2752.64,76
Radeon RX 6700 XT,12.0,2321.0,2321.0,1569.02,134
Radeon RX 7900 XTX,24.0,2300.0,2615.0,3974.22,239
GeForce RTX 3060 Ti,8.0,1410.0,1710.0,3216.52,303
GeForce RTX 4060 Ti,8.0,2310.0,2310.0,4315.42,118
GeForce RTX 4060 Ti,16.0,2310.0,2535.0,4315.42,118
Radeon RX 6600 XT,8.0,1968.0,2602.0,1098.24,51
GeForce RTX 4080,16.0,2205.0,2535.0,9557.11,313
Radeon RX 580,8.0,1366.0,1386.0,389.47,10
Radeon RX 580,4.0,1257.0,1366.0,389.47,10
Radeon RX 7900 XT,20.0,2000.0,2560.0,3546.29,88
Radeon RX 6750 XT,12.0,2150.0,2618.0,1658.18,38
GeForce RTX 3070 Ti,8.0,1575.0,1830.0,4102.46,136
Radeon RX 6700,10.0,2132.0,2425.0,1347.65,14
Radeon RX 6700,10.0,2132.0,2425.0,1255.1,1
GeForce RTX 3050,8.0,1550.0,1550.0,1657.54,46
GeForce GTX 1660 SUPER,6.0,1530.0,1815.0,830.35,57
Radeon RX 6800,16.0,1700.0,1700.0,1930.52,70
GeForce RTX 3070,8.0,1500.0,1815.0,3701.81,293
Radeon RX 6650 XT,8.0,2055.0,2669.0,1178.19,54
RTX A6000,48.0,1455.0,1860.0,5639.11,8
Radeon RX 7600,8.0,1720.0,2695.0,1338.91,139
GeForce RTX 3080,10.0,1440.0,1740.0,5217.52,370
GeForce RTX 3080,12.0,1260.0,1800.0,5217.52,370
