chipset,memory,core_clock,boost_clock,G3Dmark,G2Dmark,testDate,category
GeForce RTX 3060,12.0,1320.0,1777.0,16958,951,2021,Desktop
GeForce RTX 3060,8.0,1320.0,1867.0,16958,951,2021,Desktop
Radeon RX 6600,8.0,1626.0,1626.0,13881,945,2021,Unknown
Radeon RX 6800 XT,16.0,1825.0,2250.0,23364,1078,2020,Desktop
Radeon RX 6700 XT,12.0,2321.0,2321.0,18993,1014,2021,Desktop
GeForce RTX 3060 Ti,8.0,1410.0,1710.0,20206,961,2020,Desktop
Radeon RX 6600 XT,8.0,1968.0,2602.0,15853,1003,2021,Desktop
Radeon RX 580,8.0,1366.0,1386.0,8907,772,2017,Desktop
Radeon RX 580,4.0,1257.0,1366.0,8907,772,2017,Desktop
GeForce RTX 3070 Ti,8.0,1575.0,1830.0,23367,1003,2021,Desktop
GeForce RTX 3050,8.0,1550.0,1550.0,12718,911,2022,Unknown
GeForce GTX 1660 SUPER,6.0,1530.0,1815.0,12732,823,2019,Desktop
Radeon RX 6800,16.0,1700.0,1700.0,20667,1030,2020,Desktop
GeForce RTX 3070,8.0,1500.0,1815.0,22093,969,2020,Desktop
RTX A6000,48.0,1455.0,1860.0,22122,832,2021,Workstation
Radeon R7 240,4.0,780.0,780.0,863,258,2013,Desktop
Radeon R7 240,2.0,730.0,730.0,863,258,2013,Desktop
Radeon R7 240,1.0,730.0,780.0,863,258,2013,Desktop
GeForce RTX 3080,10.0,1440.0,1740.0,24853,1003,2020,Desktop
GeForce RTX 3080,12.0,1260.0,1800.0,24853,1003,2020,Desktop
GeForce RTX 3090,24.0,1395.0,1800.0,26395,999,2020,Desktop
GeForce GTX 1060,3.0,1506.0,1708.0,10070,762,2016,Desktop
GeForce GTX 1060,6.0,1544.0,1759.0,10070,762,2016,Desktop
Radeon RX 6900 XT,16.0,1950.0,2365.0,25458,1102,2020,Desktop
Radeon RX 6500 XT,4.0,2310.0,2825.0,9445,910,2022,Unknown
Radeon RX 6500 XT,8.0,2310.0,2855.0,9445,910,2022,Unknown
GeForce RTX 3080 Ti,12.0,1365.0,1800.0,26887,1031,2021,Desktop
GeForce RTX 3090 Ti,24.0,1560.0,1860.0,29094,1117,2022,Unknown
Quadro RTX 8000,48.0,1395.0,1770.0,19126,801,2019,Workstation
GeForce RTX 2060,6.0,1365.0,1755.0,13953,752,2019,Desktop
GeForce RTX 2060,12.0,1470.0,1650.0,13953,752,2019,Desktop
GeForce GTX 1050 Ti,4.0,1341.0,1455.0,6314,651,2016,Desktop
Radeon RX 5700 XT,8.0,1650.0,1905.0,16892,955,2019,Desktop
GeForce GTX 1080 Ti,11.0,1493.0,1632.0,18284,934,2017,Desktop
GeForce RTX 2060 SUPER,8.0,1470.0,1665.0,16514,881,2019,Desktop
GeForce GTX 1660 Ti,6.0,1500.0,1845.0,11794,702,2019,Desktop
GeForce RTX 2070 SUPER,8.0,1605.0,1770.0,18168,896,2019,Desktop
GeForce GTX 1050,2.0,1404.0,1518.0,5090,475,2016,Desktop
GeForce GTX 1050,3.0,1455.0,1569.0,5090,475,2016,Desktop
GeForce GTX 1080,8.0,1721.0,1860.0,15265,890,2016,Desktop
Quadro RTX 6000,24.0,1440.0,1770.0,19692,837,2018,Workstation
GeForce GTX 1070,8.0,1506.0,1683.0,13482,857,2016,Desktop
GeForce GT 710,1.0,954.0,954.0,637,214,2014,Desktop
GeForce GT 710,2.0,954.0,954.0,637,214,2014,Desktop
GeForce GT 1030,2.0,1266.0,1506.0,2545,449,2017,Desktop
