name,price,chipset,color,length,core_clock,boost_clock,memory_clock,memory,memory_ver,bus_width,shaders,TMUs,ROPs,PCIe,TDP,rec_psu,detail_URL,g3dmark,g2dmark,api_score,blender_score,no_benchmark,1080p_fps,1440p_fps,4k_fps,fps_score
MSI GeForce RTX 3060 Ventus 2X 12G,289.99,GeForce RTX 3060,Black,235.0,1320,1777,1875,8.0,6,128,3584,112,48,PCIe 4.0 x16,170,450 W,https://www.techpowerup.com/gpu-specs/geforce-rtx-3060-8-gb.c3937,0.575501066843891,0.8429517502365185,0.4413474347071408,0.1925875262222915,527.0,124.0,92.0,55.0,0.4011782395990761
MSI RTX 3060 Ventus 3X 12G OC,298.99,GeForce RTX 3060,Black,316.0,1320,1777,1875,8.0,6,128,3584,112,48,PCIe 4.0 x16,170,450 W,https://www.techpowerup.com/gpu-specs/geforce-rtx-3060-8-gb.c3937,0.575501066843891,0.8429517502365185,0.4413474347071408,0.1925875262222915,527.0,124.0,92.0,55.0,0.4011782395990761
MSI GeForce RTX 3060 Gaming X12G,357.52,GeForce RTX 3060,Black / Silver,276.0,1320,1777,1875,8.0,6,128,3584,112,48,PCIe 4.0 x16,170,450 W,https://www.techpowerup.com/gpu-specs/geforce-rtx-3060-8-gb.c3937,0.575501066843891,0.8429517502365185,0.4413474347071408,0.1925875262222915,527.0,124.0,92.0,55.0,0.4011782395990761
Zotac GAMING Twin Edge OC,289.99,GeForce RTX 3060,Black,224.0,1320,1777,1875,8.0,6,128,3584,112,48,PCIe 4.0 x16,170,450 W,https://www.techpowerup.com/gpu-specs/geforce-rtx-3060-8-gb.c3937,0.575501066843891,0.8429517502365185,0.4413474347071408,0.1925875262222915,527.0,124.0,92.0,55.0,0.4011782395990761
Asus Dual GeForce RTX 3060 V2 OC Edition,299.99,GeForce RTX 3060,Black,200.0,1320,1777,1875,8.0,6,128,3584,112,48,PCIe 4.0 x16,170,450 W,https://www.techpowerup.com/gpu-specs/geforce-rtx-3060-8-gb.c3937,0.575501066843891,0.8429517502365185,0.4413474347071408,0.1925875262222915,527.0,124.0,92.0,55.0,0.4011782395990761
Gigabyte VISION OC Rev 2.0,349.95,GeForce RTX 3060,Silver / Black,280.0,1320,1777,1875,8.0,6,128,3584,112,48,PCIe 4.0 x16,170,450 W,https://www.techpowerup.com/gpu-specs/geforce-rtx-3060-8-gb.c3937,0.575501066843891,0.8429517502365185,0.4413474347071408,0.1925875262222915,527.0,124.0,92.0,55.0,0.4011782395990761
Asus TUF GAMING OC V2,369.86,GeForce RTX 3060,Black,301.0,1320,1777,1875,8.0,6,128,3584,112,48,PCIe 4.0 x16,170,450 W,https://www.techpowerup.com/gpu-specs/geforce-rtx-3060-8-gb.c3937,0.575501066843891,0.8429517502365185,0.4413474347071408,0.1925875262222915,527.0,124.0,92.0,55.0,0.4011782395990761
Asus DUAL OC,308.44,GeForce RTX 3060,White,200.0,1320,1777,1875,8.0,6,128,3584,112,48,PCIe 4.0 x16,170,450 W,https://www.techpowerup.com/gpu-specs/geforce-rtx-3060-8-gb.c3937,0.575501066843891,0.8429517502365185,0.4413474347071408,0.1925875262222915,527.0,124.0,92.0,55.0,0.4011782395990761
Gigabyte WINDFORCE OC,279.99,GeForce RTX 3060,Black,198.0,1320,1777,1875,8.0,6,128,3584,112,48,PCIe 4.0 x16,170,450 W,https://www.techpowerup.com/gpu-specs/geforce-rtx-3060-8-gb.c3937,0.575501066843891,0.8429517502365185,0.4413474347071408,0.1925875262222915,527.0,124.0,92.0,55.0,0.4011782395990761
Gigabyte GAMING OC Rev 2.0,,GeForce RTX 3060,Black / Gray,282.0,1320,1777,1875,8.0,6,128,3584,112,48,PCIe 4.0 x16,170,450 W,https://www.techpowerup.com/gpu-specs/geforce-rtx-3060-8-gb.c3937,0.575501066843891,0.8429517502365185,0.4413474347071408,0.1925875262222915,527.0,124.0,92.0,55.0,0.4011782395990761
