chipset,core_clock,boost_clock,memory_clock,memory,memory_ver,bus_width,shaders,TMUs,ROPs,PCIe,TDP,rec_psu,detail_URL,g3dmark,g2dmark,api_score,blender_score,no_benchmark,1080p_fps,1440p_fps,4k_fps,fps_score
GeForce RTX 3060,1320,1777,1875,8.0,6,128,3584,112,48,PCIe 4.0 x16,170,450 W,https://www.techpowerup.com/gpu-specs/geforce-rtx-3060-8-gb.c3937,0.575501066843891,0.8429517502365185,0.44134743470714083,0.19258752622229158,527.0,124.0,92.0,55.0,0.40117823959907617
GeForce RTX 4070 Ti,2310,2640,1313,12.0,6,192,7680,240,80,PCIe 4.0 x16,285,600 W,https://www.techpowerup.com/gpu-specs/geforce-rtx-4070-ti.c3950,0.7988495575221239,0.8898013245033112,0.7255084940312627,0.5546816066786321,377.0,,,,0.6720364571058022
GeForce RTX 4070,1920,2490,1313,12.0,6,192,5888,184,64,PCIe 4.0 x16,200,550 W,https://www.techpowerup.com/gpu-specs/geforce-rtx-4070.c3924,0.7265612648221343,0.8520529801324503,0.6904070664745028,0.4578102263494439,408.0,295.0,225.0,141.0,0.8219719090699957
GeForce RTX 4090,2235,2640,1313,24.0,6,384,16384,512,176,PCIe 4.0 x16,450,850 W,https://www.techpowerup.com/gpu-specs/geforce-rtx-4090.c3889,0.9632606946727762,0.9621854304635762,0.9861982701191978,0.9999999999999999,1057.0,369.0,281.0,176.0,1.0
Radeon RX 6600,1626,1626,1750,8.0,6,128,1792,112,64,PCIe 4.0 x8,132,300 W,https://www.techpowerup.com/gpu-specs/radeon-rx-6600.c3696,0.46787225856098497,0.8372753074739829,0.4066725870907843,0.07583310764183754,97.0,,,,0.3526617435286418
Radeon RX 6800 XT,1825,2250,2000,16.0,6,256,4608,288,128,PCIe 4.0 x16,300,700 W,https://www.techpowerup.com/gpu-specs/radeon-rx-6800-xt.c3694,0.7995732624435972,0.9631031220435196,0.7670548581116537,0.18432951264407912,91.0,236.0,176.0,100.0,0.6612287273321045
Radeon RX 6950 XT,1860,2368,2250,16.0,6,256,5120,320,128,PCIe 4.0 x16,335,700 W,https://www.techpowerup.com/gpu-specs/radeon-rx-6950-xt.c3875,0.8762394627304209,0.9464143803216651,0.7888886878219022,0.20896048792206218,76.0,,,,0.6638935625439111
Radeon RX 6700 XT,2321,2321,2000,12.0,6,192,2560,160,64,PCIe 4.0 x16,230,550 W,https://www.techpowerup.com/gpu-specs/radeon-rx-6700-xt.c3695,0.6466822903914092,0.9025543992431411,0.469715012311791,0.11840693936319804,134.0,163.0,122.0,70.0,0.4918107222543512
Radeon RX 7900 XTX,1929,2615,2500,24.0,6,384,6144,384,192,PCIe 4.0 x16,355,750 W,https://www.techpowerup.com/gpu-specs/radeon-rx-7900-xtx.c3941,0.9128643884011334,0.9284011352885524,0.8149053800501211,0.3024181887454154,239.0,,,,0.846820134759914
GeForce RTX 3060 Ti,1410,1710,1750,8.0,6,256,4864,152,80,PCIe 4.0 x16,200,550 W,https://www.techpowerup.com/gpu-specs/geforce-rtx-3060-ti.c3681,0.6891111966140824,0.8524124881740776,0.5620029871230774,0.2444499018433257,303.0,150.0,113.0,69.0,0.4670162644993724
GeForce RTX 4060 Ti,2310,2310,2250,8.0,6,128,4352,136,48,PCIe 4.0 x8,160,450 W,https://www.techpowerup.com/gpu-specs/geforce-rtx-4060-ti-8-gb.c3890,0.6229507852670608,0.836868495742668,0.6374751424263386,0.3285218966654273,118.0,225.0,168.0,103.0,0.6439438181399914
Radeon RX 6600 XT,1968,2602,2000,8.0,6,128,2048,128,64,PCIe 4.0 x8,160,450 W,https://www.techpowerup.com/gpu-specs/radeon-rx-6600-xt.c3774,0.5368498373500298,0.8921475875118259,0.4230613974892019,0.08238963685855799,51.0,135.0,101.0,59.0,0.4270732346434405
GeForce RTX 4080,2205,2535,1400,16.0,6,256,9728,304,112,PCIe 4.0 x16,320,700 W,https://www.techpowerup.com/gpu-specs/geforce-rtx-4080.c3888,0.8743086501801393,0.9253074739829705,0.915170351586517,0.7295404921145686,313.0,320.0,244.0,153.0,0.8824043537547809
Radeon RX 580,1257,1386,2000,8.0,5,256,2304,144,32,PCIe 3.0 x16,185,450 W,https://www.techpowerup.com/gpu-specs/radeon-rx-580.c2938,0.29388925810626465,0.67360454115421,0.2635227869050983,0.028164768562934265,10.0,71.0,51.0,29.0,0.2717032643772548
