name,price,socket,form_factor,max_memory,memory_slots,color,manufacturer,chipset,SATA,M.2,BAND,PCIe,OC,WIFI
MSI MAG B550 TOMAHAWK,169.99,AM4,ATX,128,4,Black / Silver,MSI,B550,6,3,16,4,TRUE,FALSE
MSI B550-A PRO,139.99,AM4,ATX,128,4,Black / Silver,MSI,B550,6,3,16,4,TRUE,FALSE
MSI B550M PRO-VDH WIFI,119.99,AM4,Micro ATX,128,4,Black,MSI,B550,6,3,16,4,TRUE,TRUE
Gigabyte Z790 AORUS ELITE AX,239.99,1700,ATX,128,4,Black,Gigabyte,Z790,6,4,16,5,TRUE,FALSE
Asus Prime B450M-A II,79.99,AM4,Micro ATX,128,4,,Asus,B450,4,2,6,3,TRUE,FALSE
MSI MAG B660 TOMAHAWK WIFI DDR4,189.99,1700,ATX,128,4,Black / Silver,MSI,B660,4,2,4,4,FALSE,TRUE
Gigabyte B650 AORUS ELITE AX,202.3,AM5,ATX,128,4,Black / Silver,Gigabyte,B650,4,2,16,4,TRUE,FALSE
Asus ROG STRIX B550-A GAMING,169.99,AM4,ATX,128,4,Black / White,Asus,B550,6,3,16,4,TRUE,FALSE
MSI MAG Z790 TOMAHAWK WIFI,276.79,1700,ATX,192,4,Black,MSI,Z790,6,4,16,5,TRUE,TRUE
MSI MAG B650 TOMAHAWK WIFI,219.95,AM5,ATX,128,4,Black,MSI,B650,4,2,16,4,TRUE,TRUE
Asus TUF GAMING X570-PLUS (WI-FI),199.99,AM4,ATX,128,4,Black / Gold,Asus,X570,12,4,16,4,TRUE,TRUE
Gigabyte B660M DS3H AX DDR4,99.99,1700,Micro ATX,128,4,Black,Gigabyte,B660,4,2,4,4,FALSE,FALSE
Gigabyte B650 GAMING X AX,169.99,AM5,ATX,128,4,Black / Gray,Gigabyte,B650,4,2,16,4,TRUE,FALSE
Gigabyte B550M DS3H,107.99,AM4,Micro ATX,128,4,Black / Gold,Gigabyte,B550,6,3,16,4,TRUE,FALSE
Asus ROG STRIX B550-F GAMING WIFI II,189.99,AM4,ATX,128,4,Black / Red,Asus,B550,6,3,16,4,TRUE,TRUE
MSI B550 GAMING GEN3,117.36,AM4,ATX,128,4,Black,MSI,B550,6,3,16,4,TRUE,FALSE
MSI PRO Z790-P WIFI,217.42,1700,ATX,128,4,Black / Silver,MSI,Z790,6,4,16,5,TRUE,TRUE
Gigabyte B450M DS3H WIFI,79.99,AM4,Micro ATX,64,4,Brown / Black,Gigabyte,B450,4,2,6,3,TRUE,TRUE
MSI MAG B660M MORTAR WIFI DDR4,168.96,1700,Micro ATX,128,4,Silver / Black,MSI,B660,4,2,4,4,FALSE,TRUE
Gigabyte B550 AORUS ELITE AX V2,159.99,AM4,ATX,128,4,Black / Silver,Gigabyte,B550,6,3,16,4,TRUE,FALSE
Asus ROG STRIX B650E-F GAMING WIFI,267.73,AM5,ATX,128,4,Black,Asus,B650,4,2,16,4,TRUE,TRUE
ASRock B550M Pro4,106.99,AM4,Micro ATX,128,4,Silver / Black,ASRock,B550,6,3,16,4,TRUE,FALSE
Asus ROG STRIX Z690-A GAMING WIFI D4,442.71,1700,ATX,128,4,Silver / Black,Asus,Z690,6,4,16,5,TRUE,TRUE
Asus TUF GAMING B550-PLUS WIFI II,169.99,AM4,ATX,128,4,Black / Gray,Asus,B550,6,3,16,4,TRUE,TRUE
MSI B450M PRO-VDH MAX,79.98,AM4,Micro ATX,64,4,Black / Silver,MSI,B450,4,2,6,3,TRUE,FALSE
MSI MPG B550 GAMING PLUS,149.99,AM4,ATX,128,4,Black,MSI,B550,6,3,16,4,TRUE,FALSE
Gigabyte B650I AORUS ULTRA,259.99,AM5,Mini ITX,64,2,Black / Silver,Gigabyte,B650,4,2,16,4,TRUE,FALSE
MSI PRO B760-P WIFI DDR4,161.98,1700,ATX,128,4,Black,MSI,B760,4,2,4,4,FALSE,TRUE
Asus ROG STRIX B760-I GAMING WIFI,218.99,1700,Mini ITX,64,2,Black,Asus,B760,4,2,4,4,FALSE,TRUE
MSI PRO B650-P WIFI,189.99,AM5,ATX,128,4,Black,MSI,B650,4,2,16,4,TRUE,TRUE
MSI PRO B650M-A WIFI,165.95,AM5,Micro ATX,128,4,Black,MSI,B650,4,2,16,4,TRUE,TRUE
MSI PRO B550M-VC WIFI,118.61,AM4,Micro ATX,128,4,Black,MSI,B550,6,3,16,4,TRUE,TRUE
MSI A520M-A PRO,75.99,AM4,Micro ATX,64,2,Black,MSI,A520,4,2,6,3,FALSE,FALSE
MSI MAG Z690 TOMAHAWK WIFI DDR4,239.99,1700,ATX,128,4,Black / Silver,MSI,Z690,6,4,16,5,TRUE,TRUE
Asus ROG STRIX Z790-E GAMING WIFI,485.14,1700,ATX,128,4,Black,Asus,Z790,6,4,16,5,TRUE,TRUE
Gigabyte A520I AC,109.99,AM4,Mini ITX,64,2,Black,Gigabyte,A520,4,2,6,3,FALSE,FALSE
Asus PRIME Z690-P WIFI D4,199,1700,ATX,128,4,Silver / Black,Asus,Z690,6,4,16,5,TRUE,TRUE
MSI MAG X670E TOMAHAWK WIFI,309.99,AM5,ATX,192,4,Black,MSI,X670,8,4,16,4,TRUE,TRUE
Asus ROG MAXIMUS Z790 HERO,588.85,1700,ATX,128,4,Black,Asus,Z790,6,4,16,5,TRUE,FALSE
Gigabyte B650M DS3H,139.99,AM5,Micro ATX,128,4,Brown / Black,Gigabyte,B650,4,2,16,4,TRUE,FALSE
MSI PRO H610M-G DDR4,79.99,1700,Micro ATX,64,2,Black / Silver,MSI,H610,4,1,6,4,FALSE,FALSE
MSI MAG B550 TOMAHAWK MAX WIFI,199.99,AM4,ATX,128,4,Silver / Black,MSI,B550,6,3,16,4,TRUE,TRUE
ASRock B660M Pro RS,89.99,1700,Micro ATX,128,4,Gray / Black,ASRock,B660,4,2,4,4,FALSE,FALSE
ASRock A520M-HDV,70.42,AM4,Micro ATX,64,2,Black / Silver,ASRock,A520,4,2,6,3,FALSE,FALSE
Asus TUF GAMING B650-PLUS WIFI,227.99,AM5,ATX,128,4,Black,Asus,B650,4,2,16,4,TRUE,TRUE
Asus ROG STRIX X670E-E GAMING WIFI,484.99,AM5,ATX,128,4,Black / Silver,Asus,X670,8,4,16,4,TRUE,TRUE
Gigabyte B550I AORUS PRO AX,169.99,AM4,Mini ITX,64,2,Black / Silver,Gigabyte,B550,6,3,16,4,TRUE,FALSE
Asus TUF GAMING Z790-PLUS WIFI,269.99,1700,ATX,128,4,Black / Gray,Asus,Z790,6,4,16,5,TRUE,TRUE
ASRock B550M-ITX/ac,129.99,AM4,Mini ITX,64,2,Silver / Black,ASRock,B550,6,3,16,4,TRUE,FALSE
MSI PRO Z690-A WIFI DDR4,169.95,1700,ATX,128,4,Black / Silver,MSI,Z690,6,4,16,5,TRUE,TRUE
Asus TUF GAMING A520M-PLUS WIFI,99.99,AM4,Micro ATX,128,4,Black / Orange,Asus,A520,4,2,6,3,FALSE,TRUE
Gigabyte B550 GAMING X V2,109.99,AM4,ATX,128,4,Black,Gigabyte,B550,6,3,16,4,TRUE,FALSE
MSI MPG B650I EDGE WIFI,274.27,AM5,Mini ITX,64,2,Black / Silver,MSI,B650,4,2,16,4,TRUE,TRUE
Gigabyte B550M DS3H AC,87.99,AM4,Micro ATX,128,4,Black,Gigabyte,B550,6,3,16,4,TRUE,FALSE
Gigabyte B760 GAMING X AX,159.99,1700,ATX,128,4,Black / Gray,Gigabyte,B760,4,2,4,4,FALSE,FALSE
Asus ROG STRIX B550-F GAMING,175.6,AM4,ATX,128,4,Black,Asus,B550,6,3,16,4,TRUE,FALSE
MSI PRO B660M-A WIFI DDR4,173.5,1700,Micro ATX,128,4,Black / Silver,MSI,B660,4,2,4,4,FALSE,TRUE
Asus ROG ZENITH II EXTREME ALPHA,2059,sTRX4,EATX,256,8,Black / Silver,Asus,,,,,,,FALSE
ASRock B550M Phantom Gaming 4,86.99,AM4,Micro ATX,128,4,Black,ASRock,B550,6,3,16,4,TRUE,FALSE
Gigabyte B650M AORUS ELITE AX,189.99,AM5,Micro ATX,128,4,Black,Gigabyte,B650,4,2,16,4,TRUE,FALSE
Asus ROG STRIX B650-A GAMING WIFI,244.99,AM5,ATX,128,4,Black / Silver,Asus,B650,4,2,16,4,TRUE,TRUE
Asus PRIME B550M-A WIFI II,129.99,AM4,Micro ATX,128,4,Blue / Silver,Asus,B550,6,3,16,4,TRUE,TRUE
ASRock B650M Pro RS WiFi,124.99,AM5,Micro ATX,128,4,Black / Silver,ASRock,B650,4,2,16,4,TRUE,TRUE
Gigabyte B550M AORUS ELITE,130.19,AM4,Micro ATX,128,4,Black / Orange,Gigabyte,B550,6,3,16,4,TRUE,FALSE
Asus PRIME Z790-A WIFI,279.99,1700,ATX,128,4,Black / Silver,Asus,Z790,6,4,16,5,TRUE,TRUE
MSI MPG Z490 GAMING EDGE WIFI,,1200,ATX,128,4,Black / Silver,MSI,Z490,6,3,8,3,TRUE,TRUE
MSI MPG Z490 GAMING PLUS,109.99,1200,ATX,128,4,Black / Silver,MSI,Z490,6,3,8,3,TRUE,FALSE
ASRock B550 Phantom Gaming 4/ac,89.99,AM4,ATX,128,4,Silver / Black,ASRock,B550,6,3,16,4,TRUE,FALSE
ASRock Z690M-ITX/ax,171.17,1700,Mini ITX,64,2,Silver / Black,ASRock,Z690,6,4,16,5,TRUE,FALSE
Gigabyte X670 AORUS ELITE AX (rev. 1.0),269.99,AM5,ATX,128,4,Black,Gigabyte,X670,8,4,16,4,TRUE,FALSE
ASRock B650M-HDV/M.2,124.99,AM5,Micro ATX,64,2,Silver / Black,ASRock,B650,4,2,16,4,TRUE,FALSE
Gigabyte X570S AORUS ELITE AX,189.99,AM4,ATX,128,4,Black / Silver,Gigabyte,X570,12,4,16,4,TRUE,FALSE
Asus TUF GAMING B550M-PLUS WIFI II,159.99,AM4,Micro ATX,128,4,Black / Gray,Asus,B550,6,3,16,4,TRUE,TRUE
Gigabyte B760M DS3H AX DDR4,178.5,1700,Micro ATX,128,4,Black,Gigabyte,B760,4,2,4,4,FALSE,FALSE
MSI MPG Z790 EDGE WIFI,339.99,1700,ATX,128,4,Silver / Black,MSI,Z790,6,4,16,5,TRUE,TRUE
ASRock B660M-HDV,97.73,1700,Micro ATX,64,2,Gray / Black,ASRock,B660,4,2,4,4,FALSE,FALSE
Asus ROG STRIX Z690-E GAMING WIFI,265.99,1700,ATX,128,4,Black,Asus,Z690,6,4,16,5,TRUE,TRUE
MSI PRO B760M-P DDR4,99.95,1700,Micro ATX,128,4,Black,MSI,B760,4,2,4,4,FALSE,FALSE
NZXT N7 Z790,299.99,1700,ATX,128,4,White / Black,NZXT,Z790,6,4,16,5,TRUE,FALSE
ASRock H570 Phantom Gaming 4,81,1200,ATX,128,4,Silver / Black,ASRock,H570,6,2,20,3,FALSE,FALSE
Asus PRIME B550-PLUS,129.99,AM4,ATX,128,4,Black / White,Asus,B550,6,3,16,4,TRUE,FALSE
Gigabyte B760M AORUS ELITE AX,119.99,1700,Micro ATX,128,4,Black / Silver,Gigabyte,B760,4,2,4,4,FALSE,FALSE
Gigabyte B760 AORUS ELITE AX,159.99,1700,ATX,128,4,Black,Gigabyte,B760,4,2,4,4,FALSE,FALSE
Asus ROG STRIX B650E-I GAMING WIFI,324.99,AM5,Mini ITX,64,2,Black,Asus,B650,4,2,16,4,TRUE,TRUE
MSI PRO X670-P WIFI,229.95,AM5,ATX,128,4,Black / White,MSI,X670,8,4,16,4,TRUE,TRUE
Asus PRIME B660-PLUS D4,179.94,1700,ATX,128,4,Silver / Black,Asus,B660,4,2,4,4,FALSE,FALSE
Gigabyte A520M S2H,74.98,AM4,Micro ATX,64,2,Black,Gigabyte,A520,4,2,6,3,FALSE,FALSE
Asus PRIME Z790-P WIFI,222.98,1700,ATX,128,4,Black / Silver,Asus,Z790,6,4,16,5,TRUE,TRUE
MSI MPG B650 EDGE WIFI,239.99,AM5,ATX,128,4,Black / Silver,MSI,B650,4,2,16,4,TRUE,TRUE
Gigabyte B550M K,79.98,AM4,Micro ATX,128,4,Brown / Silver,Gigabyte,B550,6,3,16,4,TRUE,FALSE
ASRock B550M-HDV,79.98,AM4,Micro ATX,64,2,Black,ASRock,B550,6,3,16,4,TRUE,FALSE
MSI B450 TOMAHAWK MAX,,AM4,ATX,128,4,Black,MSI,B450,4,2,6,3,TRUE,FALSE
MSI MPG X670E CARBON WIFI,439.99,AM5,ATX,128,4,Black,MSI,X670,8,4,16,4,TRUE,TRUE
ASRock Z790 PG LIGHTNING,179.99,1700,ATX,128,4,Black,ASRock,Z790,6,4,16,5,TRUE,FALSE
Gigabyte B550 AORUS ELITE V2,163.43,AM4,ATX,128,4,Black,Gigabyte,B550,6,3,16,4,TRUE,FALSE
Asus ROG STRIX B760-A GAMING WIFI D4,218.99,1700,ATX,128,4,Silver / Black,Asus,B760,4,2,4,4,FALSE,TRUE
Asus PRIME A320M-K,96.78,AM4,Micro ATX,32,2,Black / White,Asus,A320,4,2,4,3,FALSE,FALSE
Asus TUF GAMING X670E-PLUS WIFI,301.2,AM5,ATX,128,4,Black / Orange,Asus,X670,8,4,16,4,TRUE,TRUE
Asus PRIME B660M-A WIFI D4,164.37,1700,Micro ATX,128,4,Silver / Black,Asus,B660,4,2,4,4,FALSE,TRUE
Asus ROG STRIX B450-F GAMING,279,AM4,ATX,64,4,Black,Asus,B450,4,2,6,3,TRUE,FALSE
ASRock B550 Phantom Gaming 4,84.99,AM4,ATX,128,4,Silver / Black,ASRock,B550,6,3,16,4,TRUE,FALSE
MSI PRO Z790-A WIFI,219.99,1700,ATX,128,4,Black / Silver,MSI,Z790,6,4,16,5,TRUE,TRUE
NZXT N7 B550,249.99,AM4,ATX,128,4,White / Black,NZXT,B550,6,3,16,4,TRUE,FALSE
ASRock B550 Phantom Gaming-ITX/ax,191.25,AM4,Mini ITX,64,2,Silver / Black,ASRock,B550,6,3,16,4,TRUE,FALSE
MSI MAG B650M MORTAR WIFI,199.95,AM5,Micro ATX,128,4,Black,MSI,B650,4,2,16,4,TRUE,TRUE
NZXT N7 B650E,316.99,AM5,ATX,128,4,White,NZXT,B650,4,2,16,4,TRUE,FALSE
ASRock B550M Steel Legend,129.99,AM4,Micro ATX,128,4,Silver / Black,ASRock,B550,6,3,16,4,TRUE,FALSE
Gigabyte B650M K,119.99,AM5,Micro ATX,128,4,Brown / Silver,Gigabyte,B650,4,2,16,4,TRUE,FALSE
Asus ROG STRIX X670E-I GAMING WIFI,429.99,AM5,Mini ITX,64,2,Black / Silver,Asus,X670,8,4,16,4,TRUE,TRUE
MSI B450I GAMING PLUS MAX WIFI,149.99,AM4,Mini ITX,64,2,Black,MSI,B450,4,2,6,3,TRUE,TRUE
ASRock B550 Pro4,114.99,AM4,ATX,128,4,Silver / Black,ASRock,B550,6,3,16,4,TRUE,FALSE
ASRock B550M PG RIPTIDE,89.99,AM4,Micro ATX,128,4,,ASRock,B550,6,3,16,4,TRUE,FALSE
Asus ROG STRIX Z790-A GAMING WIFI,349.99,1700,ATX,128,4,Silver / Black,Asus,Z790,6,4,16,5,TRUE,TRUE
Asus ROG CROSSHAIR X670E HERO,656.53,AM5,ATX,128,4,Black / Silver,Asus,X670,8,4,16,4,TRUE,FALSE
MSI MAG B760 TOMAHAWK WIFI,199.99,1700,ATX,128,4,Black,MSI,B760,4,2,4,4,FALSE,TRUE
ASRock B450M Pro4,139.99,AM4,Micro ATX,128,4,Black / Silver,ASRock,B450,4,2,6,3,TRUE,FALSE
ASRock X670E Steel Legend,299.99,AM5,ATX,128,4,Black / White,ASRock,X670,8,4,16,4,TRUE,FALSE
MSI MAG X570S TOMAHAWK MAX WIFI,279.5,AM4,ATX,128,4,Black,MSI,X570,12,4,16,4,TRUE,TRUE
MSI MPG X570S EDGE MAX WIFI,199.99,AM4,ATX,128,4,Black / Silver,MSI,X570,12,4,16,4,TRUE,TRUE
Asus ROG STRIX X670E-A GAMING WIFI,385.99,AM5,ATX,128,4,Silver / Black,Asus,X670,8,4,16,4,TRUE,TRUE
Asus TUF GAMING Z690-PLUS WIFI D4,274.99,1700,ATX,128,4,Black / Silver,Asus,Z690,6,4,16,5,TRUE,TRUE
MSI MAG Z690 TOMAHAWK WIFI,217,1700,ATX,128,4,Black / Silver,MSI,Z690,6,4,16,5,TRUE,TRUE
MSI B760 GAMING PLUS WIFI,159.99,1700,ATX,192,4,Black / Silver,MSI,B760,4,2,4,4,FALSE,TRUE
Asus PRIME B650-PLUS,190.99,AM5,ATX,128,4,Black / Silver,Asus,B650,4,2,16,4,TRUE,FALSE
ASRock A520M-ITX/ac,136.6,AM4,Mini ITX,64,2,Black / Silver,ASRock,A520,4,2,6,3,FALSE,FALSE
MSI MEG Z790 GODLIKE,1199.99,1700,EATX,128,4,Black,MSI,Z790,6,4,16,5,TRUE,FALSE
ASRock A620M Pro RS WiFi,124.99,AM5,Micro ATX,128,4,Silver / Black,ASRock,A620,4,2,8,4,FALSE,TRUE
MSI PRO Z690-P DDR4,158.69,1700,ATX,128,4,Black / Silver,MSI,Z690,6,4,16,5,TRUE,FALSE
Gigabyte Z690 AORUS ELITE AX,169.99,1700,ATX,128,4,Black,Gigabyte,Z690,6,4,16,5,TRUE,FALSE
Asus PRIME A520M-A II/CSM,79.99,AM4,Micro ATX,128,4,Silver / Black,Asus,A520,4,2,6,3,FALSE,FALSE
MSI MPG Z790 CARBON WIFI,399.99,1700,ATX,128,4,Black,MSI,Z790,6,4,16,5,TRUE,TRUE
Asus ROG Crosshair VIII Dark Hero,395,AM4,ATX,128,4,Black / Silver,Asus,,,,,,,FALSE
MSI MPG Z690 EDGE WIFI DDR4,269.99,1700,ATX,128,4,Black / Gray,MSI,Z690,6,4,16,5,TRUE,TRUE
ASRock B450M Steel Legend,109,AM4,Micro ATX,64,4,Black / White,ASRock,B450,4,2,6,3,TRUE,FALSE
Asus PRIME Z390-A,323,1151,ATX,128,4,Silver / Black,Asus,Z390,6,2,8,3,TRUE,FALSE
MSI PRO H610M-B DDR4,109.98,1700,Micro ATX,64,2,Black / Silver,MSI,H610,4,1,6,4,FALSE,FALSE
Gigabyte B450 AORUS ELITE V2,128.48,AM4,ATX,128,4,Black,Gigabyte,B450,4,2,6,3,TRUE,FALSE
ASRock B760M Steel Legend WiFi,169.99,1700,Micro ATX,128,4,Silver / Black,ASRock,B760,4,2,4,4,FALSE,TRUE
Asus PRIME X670E-PRO WIFI,334.99,AM5,ATX,128,4,Silver / Black,Asus,X670,8,4,16,4,TRUE,TRUE
MSI MAG B760 TOMAHAWK WIFI DDR4,189.99,1700,ATX,128,4,Black,MSI,B760,4,2,4,4,FALSE,TRUE
Asus ROG CROSSHAIR X670E EXTREME,999.99,AM5,EATX,128,4,Black / Silver,Asus,X670,8,4,16,4,TRUE,FALSE
Asus ROG STRIX X670E-F GAMING WIFI,419.99,AM5,ATX,128,4,Black / Silver,Asus,X670,8,4,16,4,TRUE,TRUE
Asus PRIME B760-PLUS D4,143.99,1700,ATX,128,4,Silver / Black,Asus,B760,4,2,4,4,FALSE,FALSE
ASRock B660 Steel Legend,119.99,1700,ATX,128,4,Silver / Black,ASRock,B660,4,2,4,4,FALSE,FALSE
MSI MPG Z790I EDGE WIFI,350.99,1700,Mini ITX,64,2,Silver / Black,MSI,Z790,6,4,16,5,TRUE,TRUE
ASRock H470M-HDV/M.2,86.82,1200,Micro ATX,64,2,Black / Silver,ASRock,H470,6,2,16,3,FALSE,FALSE
NZXT N7 Z790,299.99,1700,ATX,128,4,Black,NZXT,Z790,6,4,16,5,TRUE,FALSE
MSI MEG X570 UNIFY,245.99,AM4,ATX,128,4,Black,MSI,X570,12,4,16,4,TRUE,FALSE
Gigabyte Z790 UD AX,179.99,1700,ATX,128,4,Black,Gigabyte,Z790,6,4,16,5,TRUE,FALSE
Gigabyte B660M AORUS Pro AX DDR4,109.99,1700,Micro ATX,128,4,Black,Gigabyte,B660,4,2,4,4,FALSE,FALSE
ASRock B650M Pro RS,139.99,AM5,Micro ATX,128,4,Black / Silver,ASRock,B650,4,2,16,4,TRUE,FALSE
MSI MPG B560I GAMING EDGE WIFI,169.99,1200,Mini ITX,64,2,Black,MSI,B560,6,1,4,4,FALSE,TRUE
MSI PRO Z690-A WIFI,198,1700,ATX,128,4,Black / Silver,MSI,Z690,6,4,16,5,TRUE,TRUE
Asus ProArt X670E-CREATOR WIFI,404.99,AM5,ATX,128,4,Black / Copper,Asus,X670,8,4,16,4,TRUE,TRUE
MSI MAG Z790 TOMAHAWK WIFI DDR4,244.99,1700,ATX,128,4,Black,MSI,Z790,6,4,16,5,TRUE,TRUE
MSI PRO A620M-E,84.95,AM5,Micro ATX,64,2,Black,MSI,A620,4,2,8,4,FALSE,FALSE
Asus ProArt Z790-CREATOR WIFI,419.99,1700,ATX,128,4,Black / Copper,Asus,Z790,6,4,16,5,TRUE,TRUE
Asus PRIME H510M-K,119.5,1200,Micro ATX,64,2,Black / Silver,Asus,H510,4,1,6,3,FALSE,FALSE
ASRock Z790M-ITX WIFI,189.99,1700,Mini ITX,64,2,Black,ASRock,Z790,6,4,16,5,TRUE,TRUE
MSI B450M-A PRO MAX,75.99,AM4,Micro ATX,32,2,Black,MSI,B450,4,2,6,3,TRUE,FALSE
ASRock B650 PRO RS,203.57,AM5,ATX,128,4,Black / Silver,ASRock,B650,4,2,16,4,TRUE,FALSE
ASRock A520M-HVS,85.2,AM4,Micro ATX,64,2,Black / Silver,ASRock,A520,4,2,6,3,FALSE,FALSE
ASRock B450M/AC,94.01,AM4,Micro ATX,64,4,Black,ASRock,B450,4,2,6,3,TRUE,FALSE
ASRock B760M PG Riptide,139.99,1700,Micro ATX,128,4,Black / Blue,ASRock,B760,4,2,4,4,FALSE,FALSE
Asus PRIME B450M-K II,99.49,AM4,Micro ATX,64,2,Black,Asus,B450,4,2,6,3,TRUE,FALSE
Asus ROG STRIX Z790-H GAMING WIFI,299.99,1700,ATX,128,4,Black,Asus,Z790,6,4,16,5,TRUE,TRUE
Gigabyte B660M AORUS ELITE AX DDR4,109.99,1700,Micro ATX,128,4,Black,Gigabyte,B660,4,2,4,4,FALSE,FALSE
Asus ROG STRIX B660-I GAMING WIFI,259.14,1700,Mini ITX,64,2,Black / Silver,Asus,B660,4,2,4,4,FALSE,TRUE
Asus ROG Strix X570-I Gaming,371.87,AM4,Mini ITX,64,2,Black,Asus,X570,12,4,16,4,TRUE,FALSE
Gigabyte B550 UD AC,109.99,AM4,ATX,128,4,Brown / Black,Gigabyte,B550,6,3,16,4,TRUE,FALSE
Asus ROG STRIX B660-A GAMING WIFI D4,282.84,1700,ATX,128,4,Silver / Black,Asus,B660,4,2,4,4,FALSE,TRUE
Asus PRIME H610I-PLUS D4-CSM,109.99,1700,Mini ITX,64,2,Silver / Black,Asus,H610,4,1,6,4,FALSE,FALSE
