name,price,socket,form_factor,max_memory,memory_slots,color,manufacturer,chipset,SATA,M.2,BAND,PCIe,OC,WIFI,max_memory_spec,memory_slots_spec,SATA_spec,BAND_spec,PCIe_spec,OC_spec
MSI MAG B550 TOMAHAWK,169.99,AM4,ATX,0.1232876712328767,0.2727272727272727,Black / Silver,MSI,B550,0.4000000000000001,3.0,0.6363636363636364,0.75,1.0,False,128,4,6.0,16.0,4.0,True
MSI B550-A PRO,139.99,AM4,ATX,0.1232876712328767,0.2727272727272727,Black / Silver,MSI,B550,0.4000000000000001,3.0,0.6363636363636364,0.75,1.0,False,128,4,6.0,16.0,4.0,True
MSI B550M PRO-VDH WIFI,119.99,AM4,Micro ATX,0.1232876712328767,0.2727272727272727,Black,MSI,B550,0.4000000000000001,3.0,0.6363636363636364,0.75,1.0,True,128,4,6.0,16.0,4.0,True
Gigabyte Z790 AORUS ELITE AX,239.99,1700,ATX,0.1232876712328767,0.2727272727272727,Black,Gigabyte,Z790,0.4000000000000001,4.0,0.6363636363636364,1.0,1.0,False,128,4,6.0,16.0,5.0,True
Asus Prime B450M-A II,79.99,AM4,Micro ATX,0.1232876712328767,0.2727272727272727,,Asus,B450,0.2,2.0,0.1818181818181818,0.5,1.0,False,128,4,4.0,6.0,3.0,True
MSI MAG B660 TOMAHAWK WIFI DDR4,189.99,1700,ATX,0.1232876712328767,0.2727272727272727,Black / Silver,MSI,B660,0.2,2.0,0.09090909090909091,0.75,0.0,True,128,4,4.0,4.0,4.0,False
Gigabyte B650 AORUS ELITE AX,202.3,AM5,ATX,0.1232876712328767,0.2727272727272727,Black / Silver,Gigabyte,B650,0.2,2.0,0.6363636363636364,0.75,1.0,False,128,4,4.0,16.0,4.0,True
Asus ROG STRIX B550-A GAMING,169.99,AM4,ATX,0.1232876712328767,0.2727272727272727,Black / White,Asus,B550,0.4000000000000001,3.0,0.6363636363636364,0.75,1.0,False,128,4,6.0,16.0,4.0,True
MSI MAG Z790 TOMAHAWK WIFI,276.79,1700,ATX,0.18590998043052837,0.2727272727272727,Black,MSI,Z790,0.4000000000000001,4.0,0.6363636363636364,1.0,1.0,True,192,4,6.0,16.0,5.0,True
MSI MAG B650 TOMAHAWK WIFI,219.95,AM5,ATX,0.1232876712328767,0.2727272727272727,Black,MSI,B650,0.2,2.0,0.6363636363636364,0.75,1.0,True,128,4,4.0,16.0,4.0,True
Asus TUF GAMING X570-PLUS (WI-FI),199.99,AM4,ATX,0.1232876712328767,0.2727272727272727,Black / Gold,Asus,X570,1.0000000000000002,4.0,0.6363636363636364,0.75,1.0,True,128,4,12.0,16.0,4.0,True
Gigabyte B660M DS3H AX DDR4,99.99,1700,Micro ATX,0.1232876712328767,0.2727272727272727,Black,Gigabyte,B660,0.2,2.0,0.09090909090909091,0.75,0.0,False,128,4,4.0,4.0,4.0,False
Gigabyte B650 GAMING X AX,169.99,AM5,ATX,0.1232876712328767,0.2727272727272727,Black / Gray,Gigabyte,B650,0.2,2.0,0.6363636363636364,0.75,1.0,False,128,4,4.0,16.0,4.0,True
Gigabyte B550M DS3H,107.99,AM4,Micro ATX,0.1232876712328767,0.2727272727272727,Black / Gold,Gigabyte,B550,0.4000000000000001,3.0,0.6363636363636364,0.75,1.0,False,128,4,6.0,16.0,4.0,True
Asus ROG STRIX B550-F GAMING WIFI II,189.99,AM4,ATX,0.1232876712328767,0.2727272727272727,Black / Red,Asus,B550,0.4000000000000001,3.0,0.6363636363636364,0.75,1.0,True,128,4,6.0,16.0,4.0,True
MSI B550 GAMING GEN3,117.36,AM4,ATX,0.1232876712328767,0.2727272727272727,Black,MSI,B550,0.4000000000000001,3.0,0.6363636363636364,0.75,1.0,False,128,4,6.0,16.0,4.0,True
