name,price,type,efficiency,wattage,modular,color,efficiency_type,modularity,Watts
Corsair RM750e,99.99,ATX,0.925531914893617,0.2972972972972973,1.0,Black,gold,Full,750
Corsair RM850x,149.99,ATX,0.925531914893617,0.35135135135135137,1.0,Black,gold,Full,850
Corsair RM1000x,169.99,ATX,0.925531914893617,0.43243243243243246,1.0,Black,gold,Full,1000
Thermaltake Toughpower GX2,66.98,ATX,0.925531914893617,0.21621621621621623,0.0,Black,gold,False,600
Corsair RM750x,119.99,ATX,0.925531914893617,0.2972972972972973,1.0,Black,gold,Full,750
Corsair RM850,139.99,ATX,0.925531914893617,0.35135135135135137,1.0,White / Black,gold,Full,850
Thermaltake Smart,39.99,ATX,0.851063829787234,0.16216216216216217,0.0,,plus,False,500
Corsair SF750,163.49,SFX,0.9574468085106382,0.2972972972972973,1.0,,platinum,Full,750
Corsair RM850e,119.99,ATX,0.925531914893617,0.35135135135135137,1.0,Black,gold,Full,850
Corsair CX650M,79.98,ATX,0.8723404255319148,0.24324324324324326,0.6000000000000001,Black,bronze,Semi,650
Corsair HX1200 Platinum,346.99,ATX,0.9574468085106382,0.5405405405405406,1.0,,platinum,Full,1200
Corsair CX750M,89.95,ATX,0.8723404255319148,0.2972972972972973,0.6000000000000001,Black,bronze,Semi,750
Corsair RM1000e,159.99,ATX,0.925531914893617,0.43243243243243246,1.0,Black,gold,Full,1000
Corsair CV550,,ATX,0.8723404255319148,0.1891891891891892,0.0,Black,bronze,False,550
Gigabyte UD750GM,90.98,ATX,0.925531914893617,0.2972972972972973,1.0,Black,gold,Full,750
Corsair RM650x,109.99,ATX,0.925531914893617,0.24324324324324326,1.0,Black,gold,Full,650
Cooler Master V850 SFX GOLD,135.99,SFX,0.925531914893617,0.35135135135135137,1.0,Black,gold,Full,850
Corsair RM750,115.99,ATX,0.925531914893617,0.2972972972972973,1.0,White / Black,gold,Full,750
Corsair CV650,,ATX,0.8723404255319148,0.24324324324324326,0.0,Black,bronze,False,650
Corsair AX1600i,549.99,ATX,1.0,0.7567567567567568,1.0,,titanium,Full,1600
NZXT C850,138.99,ATX,0.925531914893617,0.35135135135135137,1.0,Black,gold,Full,850
MSI A1000G PCIE5,199.99,ATX,0.925531914893617,0.43243243243243246,1.0,Black,gold,Full,1000
EVGA 600 W1,62.98,ATX,0.851063829787234,0.21621621621621623,0.0,,plus,False,600
Thermaltake Smart,47.98,ATX,0.851063829787234,0.21621621621621623,0.0,,plus,False,600
MSI MPG A850G PCIE5,139.99,ATX,0.925531914893617,0.35135135135135137,1.0,Black,gold,Full,850
EVGA SuperNOVA 1000 GT,169.99,ATX,0.925531914893617,0.43243243243243246,1.0,Black,gold,Full,1000
Corsair CV450,,ATX,0.8723404255319148,0.13513513513513514,0.0,Black,bronze,False,450
EVGA 500 BR,84.88,ATX,0.8723404255319148,0.16216216216216217,0.0,,bronze,False,500
Thermaltake Toughpower GF1 PE,136.99,ATX,0.925531914893617,0.35135135135135137,1.0,Black,gold,Full,850
EVGA SuperNOVA 850 GT,129.99,ATX,0.925531914893617,0.35135135135135137,1.0,Black,gold,Full,850
Thermaltake Toughpower Grand RGB,112.99,ATX,0.925531914893617,0.24324324324324326,1.0,,gold,Full,650
Thermaltake Smart,54.95,ATX,0.851063829787234,0.2702702702702703,0.0,,plus,False,700
Thermaltake Smart,33.99,ATX,0.851063829787234,0.12432432432432433,0.0,Black / White,plus,False,430
