name,price,type,efficiency,wattage,modular,color,efficiency_type,modularity
Corsair RM750e,99.99,ATX,87.0,750,10.0,Black,gold,Full
Corsair RM850x,149.99,ATX,87.0,850,10.0,Black,gold,Full
Corsair RM1000x,169.99,ATX,87.0,1000,10.0,Black,gold,Full
Thermaltake Toughpower GX2,66.98,ATX,87.0,600,0.0,Black,gold,False
Corsair RM750x,119.99,ATX,87.0,750,10.0,Black,gold,Full
Corsair RM850,139.99,ATX,87.0,850,10.0,White / Black,gold,Full
Thermaltake Smart,39.99,ATX,80.0,500,0.0,,plus,False
Corsair SF750,163.49,SFX,90.0,750,10.0,,platinum,Full
Corsair RM850e,119.99,ATX,87.0,850,10.0,Black,gold,Full
Corsair CX650M,79.98,ATX,82.0,650,6.0,Black,bronze,Semi
Corsair HX1200 Platinum,346.99,ATX,90.0,1200,10.0,,platinum,Full
Corsair CX750M,89.95,ATX,82.0,750,6.0,Black,bronze,Semi
Corsair RM1000e,159.99,ATX,87.0,1000,10.0,Black,gold,Full
Corsair CV550,,ATX,82.0,550,0.0,Black,bronze,False
Gigabyte UD750GM,90.98,ATX,87.0,750,10.0,Black,gold,Full
Corsair RM650x,109.99,ATX,87.0,650,10.0,Black,gold,Full
Cooler Master V850 SFX GOLD,135.99,SFX,87.0,850,10.0,Black,gold,Full
Corsair RM750,115.99,ATX,87.0,750,10.0,White / Black,gold,Full
Corsair CV650,,ATX,82.0,650,0.0,Black,bronze,False
Corsair AX1600i,549.99,ATX,94.0,1600,10.0,,titanium,Full
NZXT C850,138.99,ATX,87.0,850,10.0,Black,gold,Full
MSI A1000G PCIE5,199.99,ATX,87.0,1000,10.0,Black,gold,Full
EVGA 600 W1,62.98,ATX,80.0,600,0.0,,plus,False
Thermaltake Smart,47.98,ATX,80.0,600,0.0,,plus,False
MSI MPG A850G PCIE5,139.99,ATX,87.0,850,10.0,Black,gold,Full
EVGA SuperNOVA 1000 GT,169.99,ATX,87.0,1000,10.0,Black,gold,Full
Corsair CV450,,ATX,82.0,450,0.0,Black,bronze,False
EVGA 500 BR,84.88,ATX,82.0,500,0.0,,bronze,False
Thermaltake Toughpower GF1 PE,136.99,ATX,87.0,850,10.0,Black,gold,Full
EVGA SuperNOVA 850 GT,129.99,ATX,87.0,850,10.0,Black,gold,Full
Thermaltake Toughpower Grand RGB,112.99,ATX,87.0,650,10.0,,gold,Full
Thermaltake Smart,54.95,ATX,80.0,700,0.0,,plus,False
Thermaltake Smart,33.99,ATX,80.0,430,0.0,Black / White,plus,False
EVGA SuperNOVA 750 GT,119.99,ATX,87.0,750,10.0,Black,gold,Full
FSP Group Hydro G Pro,,ATX,87.0,750,10.0,Black,gold,Full
EVGA 700 GD,79.98,ATX,87.0,700,0.0,Black,gold,False
EVGA 600 GD,79.98,ATX,87.0,600,0.0,Black,gold,False
SeaSonic S12III,69.0,ATX,82.0,650,0.0,Black,bronze,False
Asus ROG THOR 1600T Gaming,665.99,ATX,94.0,1600,10.0,Silver / Black,titanium,Full
Lian Li SP,114.99,SFX,87.0,750,10.0,Black,gold,Full
Apevia Prestige,51.99,ATX,87.0,600,0.0,Black,gold,False
Corsair SF1000L,179.99,SFX,87.0,1000,10.0,Black,gold,Full
Cooler Master MWE Gold 850 - V2,119.99,ATX,87.0,850,10.0,Black,gold,Full
MSI MPG A650GF,106.99,ATX,87.0,650,10.0,Black,gold,Full
SeaSonic FOCUS Plus 650 Gold,129.99,ATX,87.0,650,10.0,,gold,Full
EVGA 500 W1,53.59,ATX,80.0,500,0.0,,plus,False
Silverstone HELA,707.0,ATX,0.0,2050,10.0,Black / White,white,Full
MSI MPG A750GF,129.99,ATX,87.0,750,10.0,Black,gold,Full
SeaSonic FOCUS PLUS 850 Gold,159.99,ATX,87.0,850,10.0,,gold,Full
NZXT C650,,ATX,87.0,650,10.0,Black,gold,Full
NZXT C750,129.99,ATX,87.0,750,10.0,Black,gold,Full
Gigabyte UD850GM,109.99,ATX,87.0,850,10.0,Black,gold,Full
Corsair HX1500i,349.99,ATX,90.0,1500,10.0,Black,platinum,Full
EVGA SuperNOVA 750 GM,149.0,SFX,87.0,750,10.0,Black,gold,Full
Thermaltake Smart BM2,,ATX,82.0,650,6.0,Black,bronze,Semi
EVGA 700 BR,79.98,ATX,82.0,700,0.0,,bronze,False
Gigabyte UD1000GM,134.99,ATX,87.0,1000,10.0,Black,gold,Full
MSI MAG A650BN,,ATX,82.0,650,0.0,Black,bronze,False
Cooler Master MWE GOLD 750 V2 FULL MODULAR,171.0,ATX,87.0,750,10.0,Black,gold,Full
Asus TUF Gaming 1000G,169.99,ATX,87.0,1000,10.0,Black,gold,Full
EVGA SuperNOVA 650 GT,99.99,ATX,87.0,650,10.0,Black,gold,Full
EVGA SuperNOVA 550 GM,,SFX,87.0,550,10.0,Black,gold,Full
Cooler Master V550 V2,125.99,ATX,87.0,550,10.0,White,gold,Full
SeaSonic PRIME TX-1000,338.98,ATX,94.0,1000,10.0,Black,titanium,Full
be quiet! Straight Power 11,209.9,ATX,90.0,1000,10.0,Black,platinum,Full
Lian Li SP850,144.65,SFX,87.0,850,10.0,White,gold,Full
Asus ROG STRIX G,199.99,ATX,87.0,1000,10.0,Black,gold,Full
MSI MEG Ai1300P PCIE5,329.99,ATX,90.0,1300,10.0,Black / Copper,platinum,Full
Cooler Master MasterWatt,99.99,ATX,82.0,750,6.0,Black,bronze,Semi
Corsair HX1000 Platinum,389.98,ATX,90.0,1000,10.0,,platinum,Full
Apevia Prestige,66.98,ATX,87.0,800,0.0,Black,gold,False
Phanteks Revolt Pro,129.99,ATX,87.0,850,10.0,Silver / Black,gold,Full
EVGA SuperNOVA 650 G5,109.99,ATX,87.0,650,10.0,Black / Green,gold,Full
EVGA SuperNOVA 850 GM,148.99,SFX,87.0,850,10.0,Black,gold,Full
Cooler Master V750 SFX GOLD,109.99,SFX,87.0,750,10.0,Black,gold,Full
be quiet! Pure Power 12 M,128.5,ATX,87.0,750,10.0,Black,gold,Full
Thermaltake Toughpower GF1 PE,109.99,ATX,87.0,750,10.0,Black,gold,Full
SeaSonic FOCUS Plus 750 Gold,139.99,ATX,87.0,750,10.0,,gold,Full
Gigabyte P750GM,,ATX,87.0,750,10.0,Black,gold,Full
be quiet! Straight Power 11,174.9,ATX,90.0,850,10.0,Black,platinum,Full
EVGA SuperNOVA 650 GM,120.0,SFX,87.0,650,10.0,Black,gold,Full
EVGA 600 BR,93.78,ATX,82.0,600,0.0,,bronze,False
Apevia CAPTAIN,31.99,ATX,0.0,550,0.0,Black,white,False
Asus ROG LOKI,249.99,SFX,90.0,1000,10.0,Silver / Black,platinum,Full
Asus ROG Strix,375.0,ATX,87.0,850,10.0,White,gold,Full
