name,price,price_per_gb,color,first_word_latency,cas_latency,total_capacity_gb,DDR_version,speed_mhz,num_modules,gb_per_module,capacity,latency,speed
Corsair Vengeance LPX 16 GB,39.99,0.9823184673785158,Black / Yellow,0.6962102225260121,0.7032967032967032,0.058823529411764705,4.0,0.3684210526315789,2,8,16,16.0,3200.0
Corsair Vengeance RGB Pro 32 GB,104.98,0.9736386440828468,Black,0.6962102225260121,0.6593406593406593,0.12156862745098039,4.0,0.42105263157894735,2,16,32,18.0,3600.0
Corsair Vengeance 32 GB,92.99,0.9778009634381868,Black,0.4792283739652162,0.2637362637362637,0.12156862745098039,5.0,0.6842105263157894,2,16,32,36.0,5600.0
Corsair Vengeance LPX 32 GB,67.98,0.9864807867338558,Black / Yellow,0.6962102225260121,0.6593406593406593,0.12156862745098039,4.0,0.42105263157894735,2,16,32,18.0,3600.0
G.Skill Trident Z5 RGB 32 GB,104.99,0.9736386440828468,Black,0.5443153337890181,0.2637362637362637,0.12156862745098039,5.0,0.736842105263158,2,16,32,36.0,6000.0
Corsair Vengeance RGB Pro 16 GB,56.99,0.970519679445912,Black,0.6962102225260121,0.7032967032967032,0.058823529411764705,4.0,0.3684210526315789,2,8,16,16.0,3200.0
G.Skill Trident Z5 RGB 64 GB,229.99,0.970164494860923,Black / Silver,0.6962102225260121,0.3516483516483516,0.24705882352941178,5.0,0.7894736842105263,2,32,64,32.0,6400.0
Silicon Power GAMING 16 GB,29.97,0.9892667658223633,Black / Gray,0.6962102225260121,0.7032967032967032,0.058823529411764705,4.0,0.3684210526315789,2,8,16,16.0,3200.0
Corsair Vengeance 32 GB,97.99,0.9760694385863653,Black,0.5443153337890181,0.2637362637362637,0.12156862745098039,5.0,0.736842105263158,2,16,32,36.0,6000.0
G.Skill Ripjaws V 32 GB,63.99,0.9878571270006882,Black,0.6962102225260121,0.7032967032967032,0.12156862745098039,4.0,0.3684210526315789,2,16,32,16.0,3200.0
Corsair Vengeance LPX 16 GB,41.99,0.9809310275934024,Black,0.6962102225260121,0.6593406593406593,0.058823529411764705,4.0,0.42105263157894735,2,8,16,18.0,3600.0
Corsair Vengeance RGB Pro SL 32 GB,77.99,0.983006637511932,White / Black,0.6962102225260121,0.6593406593406593,0.12156862745098039,4.0,0.42105263157894735,2,16,32,18.0,3600.0
Corsair Vengeance RGB 32 GB,102.99,0.9743379137345439,White,0.5443153337890181,0.2637362637362637,0.12156862745098039,5.0,0.736842105263158,2,16,32,36.0,6000.0
G.Skill Trident Z5 RGB 32 GB,119.99,0.9684329700091016,Black,0.6962102225260121,0.3516483516483516,0.12156862745098039,5.0,0.7894736842105263,2,16,32,32.0,6400.0
G.Skill Flare X5 32 GB,94.99,0.9771127933047705,Black,0.5443153337890181,0.2637362637362637,0.12156862745098039,5.0,0.736842105263158,2,16,32,36.0,6000.0
G.Skill Ripjaws S5 32 GB,97.99,0.9760694385863653,Black,0.6962102225260121,0.39560439560439553,0.12156862745098039,5.0,0.736842105263158,2,16,32,30.0,6000.0
Corsair Vengeance LPX 32 GB,62.99,0.9882123115856771,Black / Yellow,0.6962102225260121,0.7032967032967032,0.12156862745098039,4.0,0.3684210526315789,2,16,32,16.0,3200.0
Silicon Power GAMING 32 GB,48.97,0.9930739005927143,Black,0.6962102225260121,0.7032967032967032,0.12156862745098039,4.0,0.3684210526315789,2,16,32,16.0,3200.0
TEAMGROUP T-Force Vulcan Z 16 GB,33.99,0.9864807867338558,Black,0.6962102225260121,0.7032967032967032,0.058823529411764705,4.0,0.3684210526315789,2,8,16,16.0,3200.0
G.Skill Ripjaws V 16 GB,48.99,0.9760694385863653,Black,0.7805878332194123,0.7032967032967032,0.058823529411764705,4.0,0.42105263157894735,2,8,16,16.0,3600.0
Corsair Vengeance RGB Pro 16 GB,64.98,0.9649810198237396,White,0.6962102225260121,0.7032967032967032,0.058823529411764705,4.0,0.3684210526315789,2,8,16,16.0,3200.0
Corsair Vengeance RGB 32 GB,97.99,0.9760694385863653,Black,0.28723323460165573,0.17582417582417575,0.12156862745098039,5.0,0.631578947368421,2,16,32,40.0,5200.0
G.Skill Trident Z5 Neo RGB 32 GB,116.99,0.9694763247275068,Black,0.6962102225260121,0.39560439560439553,0.12156862745098039,5.0,0.736842105263158,2,16,32,30.0,6000.0
G.Skill Ripjaws V 64 GB,1937.68,0.6740071480897729,Black,0.7911445279866333,0.7472527472527473,0.24705882352941178,4.0,0.3684210526315789,4,16,64,14.0,3200.0
Corsair Vengeance 64 GB,259.99,0.9649699203054587,Black / Gray,0.7192222981696667,0.3516483516483516,0.24705882352941178,5.0,0.8157894736842106,2,32,64,32.0,6600.0
Kingston FURY Beast 16 GB,47.75,0.976935201012276,Black,0.6962102225260121,0.7032967032967032,0.058823529411764705,4.0,0.3684210526315789,2,8,16,16.0,3200.0
G.Skill Trident Z RGB 32 GB,81.99,0.9816191977268186,Black,0.6962102225260121,0.7032967032967032,0.12156862745098039,4.0,0.3684210526315789,2,16,32,16.0,3200.0
G.Skill Trident Z RGB 16 GB,59.99,0.9684440695273825,Black,0.6962102225260121,0.6593406593406593,0.058823529411764705,4.0,0.42105263157894735,2,8,16,18.0,3600.0
Corsair Vengeance 64 GB,164.99,0.9814416054343241,Black,0.28723323460165573,0.17582417582417575,0.24705882352941178,5.0,0.631578947368421,2,32,64,40.0,5200.0
G.Skill Ripjaws V 32 GB,86.99,0.9798876728749972,Black,0.7805878332194123,0.7032967032967032,0.12156862745098039,4.0,0.42105263157894735,2,16,32,16.0,3600.0
Corsair Vengeance RGB 32 GB,102.99,0.9743379137345439,Black,0.4430773904458116,0.17582417582417575,0.12156862745098039,5.0,0.736842105263158,2,16,32,40.0,6000.0
G.Skill Trident Z5 Neo 64 GB,224.99,0.9710413568051146,Black / Silver,0.6962102225260121,0.39560439560439553,0.24705882352941178,5.0,0.736842105263158,2,32,64,30.0,6000.0
TEAMGROUP T-Force Vulcan Z 32 GB,57.99,0.9899438364374986,Black,0.6962102225260121,0.6593406593406593,0.12156862745098039,4.0,0.42105263157894735,2,16,32,18.0,3600.0
TEAMGROUP T-Force Delta RGB 16 GB,46.99,0.9774568783714787,Black,0.6962102225260121,0.6593406593406593,0.058823529411764705,4.0,0.42105263157894735,2,8,16,18.0,3600.0
Corsair Dominator Platinum RGB 32 GB,169.99,0.9510955224543255,White,0.5737069947596265,0.2637362637362637,0.12156862745098039,5.0,0.763157894736842,2,16,32,36.0,6200.0
Corsair Vengeance LPX 64 GB,127.99,0.9878571270006882,Black / Yellow,0.6962102225260121,0.7032967032967032,0.24705882352941178,4.0,0.3684210526315789,2,32,64,16.0,3200.0
G.Skill Ripjaws S5 32 GB,99.99,0.9753701689346682,Black,0.6962102225260121,0.43956043956043955,0.12156862745098039,5.0,0.6842105263157894,2,16,32,28.0,5600.0
TEAMGROUP T-Force Delta RGB 32 GB,65.98,0.9871689568672719,Black,0.6962102225260121,0.6593406593406593,0.12156862745098039,4.0,0.42105263157894735,2,16,32,18.0,3600.0
TEAMGROUP T-Force Vulcan 32 GB,79.98,0.9823184673785158,Black,0.5876813245234298,0.3516483516483516,0.12156862745098039,5.0,0.6842105263157894,2,16,32,32.0,5600.0
Kingston FURY Beast 16 GB,69.98,0.9615068706018159,Black,0.28723323460165573,0.17582417582417575,0.058823529411764705,5.0,0.631578947368421,2,8,16,40.0,5200.0
G.Skill Ripjaws V 16 GB,38.99,0.983006637511932,Black,0.6962102225260121,0.7032967032967032,0.058823529411764705,4.0,0.3684210526315789,2,8,16,16.0,3200.0
Kingston FURY 128 GB,551.71,0.9622172397717939,White,0.3706994759626341,0.17582417582417575,0.4980392156862745,5.0,0.6842105263157894,4,32,128,40.0,5600.0
TEAMGROUP T-Force Delta RGB 16 GB,46.99,0.9774568783714787,White,0.6962102225260121,0.6593406593406593,0.058823529411764705,4.0,0.42105263157894735,2,8,16,18.0,3600.0
G.Skill Trident Z5 RGB 32 GB,147.99,0.9587208915133083,Black,0.7384370015948963,0.3076923076923077,0.12156862745098039,5.0,0.894736842105263,2,16,32,34.0,7200.0
TEAMGROUP T-Force Delta RGB 32 GB,65.98,0.9871689568672719,White,0.6962102225260121,0.6593406593406593,0.12156862745098039,4.0,0.42105263157894735,2,16,32,18.0,3600.0
TEAMGROUP T-Force Delta RGB 32 GB,99.99,0.9753701689346682,White,0.6962102225260121,0.39560439560439553,0.12156862745098039,5.0,0.736842105263158,2,16,32,30.0,6000.0
Corsair Vengeance RGB Pro 32 GB,79.98,0.9823184673785158,Black,0.6962102225260121,0.7032967032967032,0.12156862745098039,4.0,0.3684210526315789,2,16,32,16.0,3200.0
