name,price,capacity,price_per_gb,type,cache,form_factor,interface,speed,capacity_spec,cache_spec,speed_spec
Samsung 970 Evo Plus,54.99,0.04510731174972717,0.990263332595707,SSD,0.0078125,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,1.0,1024,3500
Samsung 980 Pro,99.99,0.09057839214259732,0.9913697720734675,SSD,0.015625,M.2,M.2 PCIe 4.0 X4,1.0,2.0,2048,7000
Samsung 980 Pro,59.99,0.04510731174972717,0.9891568931179464,SSD,0.0078125,M.2,M.2 PCIe 4.0 X4,1.0,1.0,1024,7000
Kingston NV2,42.99,0.04510731174972717,0.9929187873423324,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,1.0,0,7000
Seagate Barracuda Compute,55.0,0.09057839214259732,0.9962381057756141,HDD,0.001953125,3.5,SATA 6.0 Gb/s,0.0,2.0,256,160
Samsung 990 Pro,169.99,0.09057839214259732,0.9836246957291436,SSD,0.015625,M.2,M.2 PCIe 4.0 X4,1.0,2.0,2048,7000
Samsung 970 Evo Plus,99.99,0.09057839214259732,0.9913697720734675,SSD,0.0078125,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,2.0,1024,3500
Western Digital Black SN770,49.99,0.04510731174972717,0.9913697720734675,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,1.0,0,7000
Crucial P3,39.99,0.04510731174972717,0.9935826510289887,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,1.0,0,3500
Samsung 970 Evo Plus,34.99,0.02237177155329211,0.9869440141624253,SSD,0.00390625,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,0.5,512,3500
TEAMGROUP QX,2499.98,0.6953437613677701,0.9663642398760788,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,15.3,0,550
Kingston NV2,84.99,0.09057839214259732,0.9931400752378845,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,2.0,0,7000
Samsung 870 Evo,59.99,0.04510731174972717,0.9891568931179464,SSD,0.0078125,2.5,SATA 6.0 Gb/s,0.05701754385964912,1.0,1024,550
Western Digital Black SN850X,139.99,0.09057839214259732,0.9869440141624253,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,2.0,0,7000
Seagate BarraCuda,63.98,0.18152055292833758,0.9988935605222394,HDD,0.001953125,3.5,SATA 6.0 Gb/s,0.0,4.0,256,160
Western Digital Black SN850X,283.49,0.18152055292833758,0.9867227262668732,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,4.0,0,7000
Western Digital Blue SN570,45.99,0.04510731174972717,0.992254923655676,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,1.0,0,3500
Western Digital Black SN770,112.99,0.09057839214259732,0.9900420447001549,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,2.0,0,7000
Crucial P3 Plus,49.99,0.04510731174972717,0.9913697720734675,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,1.0,0,7000
Samsung 870 Evo,99.99,0.09057839214259732,0.9913697720734675,SSD,0.015625,2.5,SATA 6.0 Gb/s,0.05701754385964912,2.0,2048,550
Samsung 980,49.99,0.04510731174972717,0.9913697720734675,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,1.0,0,3500
TEAMGROUP MP33,38.49,0.04510731174972717,0.994025226820093,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,1.0,0,3500
Silicon Power A60,35.97,0.04510731174972717,0.9944678026111972,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,1.0,0,3500
Crucial P5 Plus,122.99,0.09057839214259732,0.9889356052223943,SSD,0.015625,M.2,M.2 PCIe 4.0 X4,1.0,2.0,2048,7000
Western Digital Caviar Blue,41.0,0.04510731174972717,0.9933613631334366,HDD,0.00048828125,3.5,SATA 6.0 Gb/s,0.0,1.0,64,160
